#{"t_start": 1751118383.157638, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-20.3,75,3.273244
-18.3,80,3.602363
15.8,40,3.800833
-31.3,47,4.014261
14.6,37,4.199765
-38.1,30,4.326427
-29.7,51,4.544842
-27.5,57,4.953749
-11.2,97,17.480241
6.4,141,18.230235
-6.1,110,18.910416
-34.5,39,19.096918
28.4,71,19.341264
28.0,70,19.715263
22.7,57,33.090486
-22.6,69,33.878378
25.6,189,36.042589
16.0,40,36.209143
2.0,130,37.349094
-20.4,74,66.725515
-24.3,65,67.619125
33.2,83,68.936602
-54.8,113,70.791639
0.9,128,72.520015
5.5,139,102.069973
-22.3,70,110.760725
-28.7,54,111.406997
1.8,130,113.157316
-9.4,102,114.547596
-0.6,124,144.112513
-60.7,99,145.445946
-9.6,101,146.452254
-23.1,68,147.180307
-36.4,159,149.408347
-20.0,75,183.649755
9.1,23,183.968901
-18.0,80,185.121817
10.1,26,185.339235
-25.2,62,185.823939
-21.9,71,186.831245
-0.8,123,188.393067
-28.3,55,189.037344
-21.7,71,220.657762
-4.3,115,222.341259
3.7,135,224.055673
11.2,28,224.330937
-21.0,73,225.610514
1.3,129,266.752464
46.4,116,271.141723
-23.1,68,272.278682
16.3,41,272.845167
-21.4,72,273.958189
22.3,56,274.814897
-18.8,78,275.813226
18.6,47,276.556241
-23.0,68,310.485482
-12.4,94,312.473166
-14.1,90,314.355131
-8.1,105,315.688565
29.3,74,316.629049
-15.3,87,348.554651
-20.9,73,349.880106
22.6,57,350.962211
-21.1,73,351.961538
-23.1,68,353.274028
-19.8,76,354.451876
-19.8,76,355.455194
-28.2,55,356.406648
-8.7,104,392.897039
-31.2,47,393.775689
-21.4,72,394.655336
-24.2,65,395.549943
-28.1,55,396.278994
-23.2,67,397.254384
-23.0,68,398.164949
-16.4,84,430.157372
-10.4,99,431.918661
18.7,47,434.688252
27.8,70,435.625745
-31.3,47,436.387707
-21.2,72,437.363098
-22.9,68,438.582834
-20.1,75,472.876104
-16.8,83,474.524694
-28.1,55,475.154011
-20.8,73,476.122421
-16.5,84,477.635374
29.0,73,478.765351
21.1,53,479.484427
-22.9,68,514.20655
-17.9,81,515.144041
-22.9,68,516.549283
-21.1,73,517.784977
-21.2,72,518.618747
-21.3,72,519.769668
-24.1,65,520.701176
-11.7,96,563.634335
-23.0,68,564.864045
11.5,29,565.716765
-28.1,55,566.638299
-21.0,73,567.762293
20.5,52,568.486356
21.7,55,569.534553
18.8,47,570.160876
-28.1,55,570.946774
27.4,69,607.513961
-20.8,73,608.578114
-28.4,54,609.304172
16.0,40,623.662765
45.9,115,625.215611
-23.1,68,626.211946
-27.9,56,627.068654
-28.2,55,627.609209
24.4,61,660.797433
-21.8,71,662.773149
-23.1,68,663.986902
31.3,79,666.064345
-21.1,73,667.957281
-21.2,72,669.919034
-28.1,55,670.874478
36.5,92,703.649807
-23.2,67,704.977257
30.1,76,705.744205
-20.9,73,706.591937
10.3,26,706.901111
-23.0,68,707.995184
-63.6,91,709.039391
-28.2,55,746.21894
18.4,46,746.954971
37.7,95,748.400105
-69.1,78,749.788392
12.6,32,750.407735
19.3,49,751.097889
-15.3,87,752.320618
15.8,165,785.377195
-28.3,55,786.284767
-23.1,68,787.094601
-17.0,83,795.169003
-21.1,73,796.704894
38.5,97,799.262055
-15.2,87,842.667948
-28.7,54,843.51967
-16.6,84,844.642666
-22.2,70,845.459481
-14.7,89,846.539592
29.9,75,847.526952
-21.8,71,848.61205
16.0,40,885.308888
-57.5,107,886.705153
-16.8,83,887.456145
-12.3,95,889.01697
11.3,29,889.38299
-22.0,70,890.229726
32.9,83,891.412562
-5.7,111,928.596101
13.3,34,929.157597
25.8,65,930.605724
-15.9,86,931.997002
-21.9,71,933.096062
2.1,131,935.094716
50.5,127,968.536263
-20.9,73,969.611387
-16.7,84,970.642629
-23.8,66,975.437803
22.3,56,976.307476
-20.3,75,977.474355
-58.7,104,1014.850378
-21.9,71,1016.050168
28.2,71,1017.128284
11.9,30,1017.651884
-15.5,87,1019.247615
-24.1,65,1020.206051
-21.2,72,1021.248265
17.6,44,1054.762617
-22.9,68,1055.240339
-4.4,114,1056.85103
-22.4,69,1057.758602
-20.9,73,1059.036185
-32.0,45,1059.637577
-20.0,75,1060.814429
-35.2,37,1061.646204
-28.2,55,1095.792865
-24.2,65,1096.893919
16.7,42,1097.472372
-26.2,60,1098.230344
14.4,36,1098.541512
-24.4,64,1099.302477
38.2,96,1101.034843
1.6,129,1141.999267
1.3,129,1143.925116
-62.0,95,1145.332352
-17.2,82,1152.488211
32.1,81,1153.502498
-21.7,71,1154.870837
-19.8,76,1210.893981
-22.3,70,1211.79956
-3.3,117,1213.379333
11.8,30,1213.858053
22.6,57,1214.391626
-15.9,86,1216.06116
29.0,73,1269.449352
-12.0,95,1270.710977
-21.2,72,1271.836966
-21.5,72,1272.65378
-21.3,72,1273.375848
-12.5,94,1275.180023
-5.7,111,1330.83216
-21.0,73,1331.881352
2.6,132,1333.535926
-22.7,69,1334.474416
-22.1,70,1335.539567
-21.7,71,1336.454121
23.8,60,1337.514285
24.1,61,1393.878515
-72.2,70,1395.014477
-29.0,53,1395.887143
-16.8,83,1397.151761
-21.2,72,1398.206938
-10.4,99,1402.965209
12.8,32,1403.362148
-20.7,74,1441.742486
-20.8,73,1444.412344
-19.5,77,1446.567579
14.3,36,1447.787314
-60.8,98,1450.355446
-21.2,72,1451.63602
-16.5,84,1452.676239
-20.8,73,1488.738774
19.4,174,1491.37971
18.0,45,1492.089811
-28.3,55,1492.932557
24.8,62,1493.779292
-14.7,89,1495.291248
-19.8,76,1526.277363
-20.8,73,1527.145041
-25.4,62,1527.991776
-20.8,73,1529.540633
-28.1,55,1530.352462
21.3,54,1531.101458
-23.1,68,1532.001052
-20.7,74,1567.585866
14.8,37,1568.109465
-21.6,71,1569.279336
-16.7,84,1570.455191
-20.4,74,1571.416619
-16.7,84,1572.777979
-22.3,70,1576.081142
-12.2,95,1613.225784
-15.4,87,1615.304225
-81.1,48,1616.626687
-78.1,55,1618.210451
23.0,58,1619.72839
16.1,41,1620.708769
-24.2,65,1622.291534
-22.0,70,1623.30981
-23.0,68,1658.641303
10.9,28,1658.93751
-32.3,170,1661.47971
-16.0,85,1662.614675
-25.7,61,1663.534214
-21.2,72,1664.378954
-23.8,66,1698.548554
-0.2,125,1700.339764
-4.4,114,1701.79487
15.2,38,1702.443137
-21.2,72,1703.393595
-15.4,87,1704.861667
-64.3,90,1751.825046
41.6,104,1753.229289
-4.5,114,1754.52582
-20.0,75,1755.21797
-16.1,85,1756.181392
-3.7,116,1806.154719
-24.4,64,1807.10019
49.5,124,1809.101835
10.4,26,1809.616459
-24.7,64,1810.628751
40.3,101,1812.128738
-23.1,68,1813.361441
-15.5,87,1853.513041
28.3,71,1854.538298
-16.6,84,1855.698195
-37.0,158,1857.591132
20.1,51,1858.301233
18.9,48,1859.022303
27.4,69,1890.02637
-21.5,72,1891.216188
-9.9,101,1892.903674
-4.5,114,1894.564233
-11.6,96,1895.594476
-14.5,89,1932.544639
-4.4,114,1933.966835
-32.7,44,1934.568226
18.1,46,1935.022012
-21.2,72,1936.245739
-23.4,192,1938.911608
-15.2,87,1980.941183
15.6,39,1981.467774
-20.1,75,1982.13499
-20.0,75,1983.310844
-16.7,84,1984.503654
9.2,23,1984.754982
21.7,55,1985.549855
-28.1,55,1986.590073
12.0,30,2023.202138
-23.5,67,2024.370014
-20.9,73,2025.673528
-20.8,73,2027.851703
-22.9,68,2029.732671
-24.2,65,2031.221687
16.1,41,2032.096348
17.7,45,2032.847339
-20.9,73,2076.08967
-28.2,55,2076.867589
-20.8,73,2077.985599
27.0,68,2079.09563
9.9,25,2079.346957
-14.6,89,2080.623543
-73.6,66,2081.330651
-20.5,74,2082.473594
40.6,102,2120.852933
-21.0,73,2121.812367
-21.2,72,2122.672067
20.4,51,2123.427047
15.7,40,2123.948652
-27.4,57,2124.805361
-4.5,114,2126.591583
31.0,78,2159.641178
59.2,148,2175.654345
12.4,31,2176.159993
6.2,141,2178.186571
35.3,89,2179.652651
24.8,62,2212.103847
12.3,31,2212.755104
-23.0,68,2213.801306
-21.2,72,2214.933278
-14.2,90,2216.232802
-9.9,101,2217.721818
41.2,103,2219.100132
4.6,137,2258.792957
33.5,84,2259.826193
-12.5,94,2261.415941
-102.7,119,2263.174238
20.9,53,2263.673901
-20.4,74,2302.724445
-23.4,67,2303.748706
-10.1,100,2304.964454
-16.7,84,2306.192169
31.1,203,2309.165217
-15.7,86,2346.020633
11.6,29,2346.438515
23.4,184,2353.251291
-26.5,59,2354.398224
-22.9,68,2355.760578
-4.5,114,2412.033056
-24.2,65,2413.078259
11.9,30,2413.664691
23.3,59,2414.571267
23.9,60,2415.309292
-21.5,72,2416.3904
-12.2,95,2417.911332
21.9,55,2418.820899
11.0,153,2468.24669
24.7,62,2469.092428
21.3,54,2469.798538
13.4,34,2470.470741
-12.6,94,2471.576782
-0.1,125,2473.188472
-66.6,84,2518.915157
-12.4,94,2520.410158
39.4,99,2521.820386
-9.8,101,2522.928422
-22.5,69,2523.726287
-21.3,72,2570.642791
-72.6,69,2571.866517
25.6,64,2572.795034
