#{"t_start": 1752231213.3076923, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-22.6,69,7.701898
37.1,93,7.85449
-26.0,60,7.981151
-20.4,74,8.069913
28.8,72,8.240457
-9.0,103,8.612463
16.9,43,26.824752
-28.0,55,26.906533
-22.9,68,27.033194
-23.7,66,27.257594
-37.8,31,27.333391
-27.8,56,27.426143
10.6,27,27.544825
-6.2,110,27.677471
4.1,136,47.826579
-60.2,100,47.977177
9.9,25,48.01707
-25.4,62,48.14772
-17.1,83,48.297321
-36.3,35,48.449912
-1.9,121,48.699245
-4.4,114,75.558885
-6.7,109,75.711477
-10.0,100,75.860079
-23.1,68,75.950837
12.4,31,76.031621
-16.7,84,76.17025
-10.7,99,99.785089
-9.7,101,100.023451
-6.6,109,100.160086
19.6,49,100.259819
-26.1,60,100.631825
-26.3,60,101.287072
-23.5,67,124.630636
30.6,77,124.794199
-17.0,83,124.895928
-25.1,63,125.054503
-18.3,80,125.176178
-17.9,81,125.289873
-20.3,75,125.385617
-14.5,89,146.926005
14.9,38,147.036709
-24.6,64,147.230192
-25.6,61,147.640095
-20.5,74,148.006116
-2.7,119,148.701257
10.9,28,148.851854
-7.0,108,170.289516
-20.2,75,170.429142
16.4,41,170.492972
13.0,33,170.581734
-21.9,71,170.681467
25.0,63,170.769233
-21.5,72,170.866972
16.0,40,170.92382
-20.1,75,189.34854
-18.4,79,189.489164
26.8,192,189.78238
-28.9,53,189.861169
34.3,86,190.020743
-22.5,69,220.447364
-37.2,32,220.654808
-21.7,71,220.805405
1.5,129,220.961987
-34.9,38,221.04277
-22.1,70,221.140508
-24.1,65,221.231266
6.5,142,242.414608
-1.6,121,242.577173
11.9,30,242.632027
-33.9,166,242.950176
24.2,61,243.043925
56.0,140,267.39679
22.1,56,267.496524
-22.9,68,267.579303
-20.6,74,267.673052
-21.7,71,267.811681
-17.8,81,267.973248
-0.8,123,288.573152
-22.5,69,288.67488
-28.8,53,288.787578
-26.3,60,288.977071
-26.0,60,289.056858
28.4,71,289.205461
28.0,70,289.376005
-6.0,110,313.062652
-22.0,70,313.305003
10.3,26,313.345893
-22.5,69,313.548352
-0.8,123,313.771755
49.2,248,333.502981
14.2,36,333.613685
-61.7,96,333.74633
-17.7,81,333.849056
-22.5,69,333.972725
23.5,59,334.074452
-18.3,80,361.393384
-3.3,117,361.573902
-21.6,71,361.673635
31.3,79,361.775363
18.4,46,361.863129
16.5,42,361.931944
24.5,62,362.018712
-17.1,83,390.186375
-17.3,82,390.818683
40.9,103,391.619541
-22.9,68,391.863888
-34.3,40,392.307701
2.6,132,392.579972
23.0,58,392.655769
-33.9,41,416.734369
-22.3,70,416.859035
-22.9,68,417.140282
13.0,33,417.195136
-28.6,54,417.263951
9.9,25,417.314816
-14.3,90,417.539215
-23.1,68,417.852378
30.2,76,435.928032
-12.1,95,436.052699
-16.5,84,436.167392
27.5,69,436.312005
-0.3,125,436.455621
17.3,44,436.523439
17.2,43,436.615195
-22.4,69,462.584736
26.9,68,462.729348
-17.3,82,462.836064
-53.1,118,463.228015
-17.9,81,463.355674
18.6,47,463.428479
1.8,130,482.467557
13.7,35,482.62713
25.5,64,482.740825
69.5,174,482.966223
59.7,275,513.594304
-30.4,49,513.788786
15.8,40,513.92143
35.4,89,514.179739
18.3,46,514.449018
22.4,56,514.6804
-25.6,61,514.793099
56.7,142,537.820508
-12.0,95,537.948166
-60.3,100,538.093777
-20.0,75,538.18254
40.3,101,538.310198
18.7,172,562.705949
2.6,132,563.072968
22.6,57,563.508801
-38.1,30,563.56565
-17.6,81,563.923692
-25.0,63,583.923201
20.4,51,584.054848
-14.5,89,584.228385
-21.1,73,584.368011
11.9,30,584.444806
-20.0,75,584.558502
21.1,178,608.845543
16.6,42,608.953255
