#{"t_start": 1752231272.1667635, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-16.9,83,5.546435
25.1,188,8.459853
-21.3,72,9.382385
18.0,45,9.860107
38.5,97,11.31721
-17.1,83,38.408751
-13.1,93,39.997501
-28.6,54,41.090577
-18.7,79,42.478864
15.9,165,45.702244
-16.7,84,73.505878
16.4,41,74.417441
6.3,141,75.91344
32.8,82,76.65346
30.7,77,77.687694
27.4,69,78.258168
-20.8,73,105.610012
21.8,180,107.98865
26.0,65,108.611983
-28.6,54,109.352004
-12.1,95,110.46004
-18.5,79,111.241949
35.4,89,149.674157
13.5,34,149.966375
-19.9,76,150.83605
-12.1,95,151.921147
-15.7,86,152.901525
-26.0,60,153.680442
19.6,49,153.962687
34.3,86,181.930882
-19.6,76,183.257335
-6.1,110,184.824144
-21.0,73,185.733711
-9.3,102,187.08011
10.4,26,187.279577
38.2,221,219.944211
10.8,27,220.122734
-23.0,68,220.699192
-27.7,56,221.502045
42.0,105,222.397649
-94.2,140,253.228189
-19.7,76,254.42798
-28.8,53,255.354502
-28.5,54,255.828234
-6.3,110,257.050965
-29.0,53,257.337199
-12.5,94,286.127196
7.5,144,293.894422
7.0,143,295.707573
-21.2,72,296.39274
-28.6,54,296.839544
-24.2,65,297.499779
-10.2,100,327.173414
-25.8,61,328.944676
-16.3,85,331.909746
-9.2,102,334.194634
3.4,134,335.513108
13.1,33,361.731982
-6.1,110,363.1083
-26.8,58,363.771527
-26.6,59,364.642197
15.7,40,365.468987
3.1,133,367.15747
-9.6,101,392.618372
-31.5,47,393.52395
-18.4,79,394.974072
-22.5,69,396.782235
-17.6,81,399.031221
-4.4,114,401.639246
7.1,143,425.720835
-37.1,33,426.09683
-102.7,119,441.318118
29.7,75,442.463056
1.5,129,443.887248
-26.1,60,444.524543
-20.0,75,472.793932
-15.3,87,474.14432
-17.4,82,475.126693
14.3,36,475.40096
-28.7,54,476.069172
-28.5,54,476.509994
-24.7,64,477.170228
-22.6,69,477.989038
-30.8,48,506.138748
-26.5,59,506.924646
-26.0,60,507.503099
-25.2,62,508.107482
-6.3,110,509.386062
10.7,27,509.992441
-5.7,111,510.976807
28.5,72,535.464313
-18.6,79,536.860578
14.5,37,537.316359
-26.1,60,537.9367
-31.6,46,538.651788
28.9,73,539.739877
22.7,57,540.734218
41.7,105,543.047032
-21.6,71,571.043153
-14.3,90,572.499258
-6.9,108,574.389204
-26.2,60,575.021512
-9.7,101,576.313058
-27.2,57,576.779809
-28.7,54,605.821134
-30.3,50,606.613017
-27.6,56,607.409885
31.0,78,608.356354
0.9,128,609.954081
25.3,189,652.523224
27.5,69,653.304136
-26.5,59,653.963372
-57.4,107,655.541153
-26.5,59,656.262223
-22.9,68,657.228639
-26.0,60,657.689406
17.0,43,658.090334
-21.8,71,687.168561
16.6,42,688.295547
-22.8,68,689.611028
13.6,34,690.617336
-26.4,59,691.936808
8.9,148,695.313775
-28.8,53,696.294153
-28.7,54,723.299923
-2.4,119,724.8787
16.8,42,725.39831
4.2,136,734.694447
-19.1,78,735.666846
-22.9,68,736.699086
-14.8,88,768.513992
-14.7,89,769.354743
-26.0,60,770.179538
-22.9,68,771.059185
17.2,43,771.429195
-26.8,58,772.110373
-35.1,38,772.957108
42.7,107,806.454516
-25.6,61,807.168606
-15.7,86,808.295592
22.5,57,808.871052
-25.8,61,809.836469
16.0,40,810.153622
-22.1,70,810.904613
-22.9,68,811.765311
-18.7,79,842.872113
0.5,127,844.066916
-22.9,68,844.715183
-26.0,60,845.560922
-22.9,68,846.58917
-8.6,104,847.746076
29.4,74,875.984549
29.7,75,876.998836
20.3,51,877.722899
-18.3,80,878.633463
-16.7,84,894.556875
0.7,127,896.226409
-16.0,85,922.279726
-1.1,123,923.830578
-21.3,72,924.822924
-43.4,142,926.881418
-25.9,61,927.60249
-21.6,71,959.943989
-22.6,69,960.732879
-22.9,68,961.903747
15.4,39,962.343571
-28.1,55,962.974881
38.7,97,964.056988
29.7,75,965.239824
-26.1,60,966.418671
23.8,60,998.943679
-19.8,76,1000.229241
-20.7,74,1001.054035
-22.1,70,1001.958615
-22.9,68,1002.867185
-8.9,103,1004.26744
-11.0,98,1033.392541
-28.8,53,1033.960023
-16.6,84,1035.53182
-20.7,74,1036.273834
-26.9,58,1036.949029
-21.4,72,1040.49654
-27.1,58,1041.564683
-32.7,44,1042.40344
-23.1,68,1074.87559
-20.3,75,1075.909823
-19.6,76,1076.79346
-18.6,79,1077.799768
-16.4,84,1078.692382
-28.7,54,1079.576018
-1.9,121,1114.981321
9.9,25,1115.17281
-26.2,60,1116.004585
-18.3,80,1117.128579
-7.8,106,1118.760215
-0.7,124,1120.524496
23.7,60,1121.163786
-22.0,70,1153.551162
-19.5,77,1154.558468
-16.1,85,1155.576744
-8.5,104,1157.04781
-48.9,128,1159.17113
-2.1,120,1192.650585
27.5,69,1193.791534
1.1,128,1195.462066
25.5,64,1196.243975
-23.5,67,1198.491962
-8.8,103,1199.739625
-26.0,60,1229.351424
-27.1,58,1230.115381
-21.4,72,1230.812516
-20.1,75,1231.873679
-15.5,87,1233.718743
4.1,136,1236.764597
-21.4,72,1268.700181
-27.1,58,1269.517993
-16.3,85,1270.404623
-18.3,80,1271.411928
-27.0,58,1272.11804
-22.0,70,1273.134321
-17.9,81,1274.030923
-22.9,68,1306.789307
27.1,68,1308.024004
-21.4,72,1308.999396
-21.4,72,1309.788286
32.3,81,1310.83748
-57.8,106,1312.227761
-27.3,57,1352.021328
19.3,49,1352.616735
-23.3,67,1353.499375
-0.8,123,1355.026291
-26.0,60,1355.899954
34.1,86,1356.842433
-27.0,58,1359.210102
-28.1,55,1388.199565
23.5,59,1388.822899
-22.4,69,1390.282993
-0.5,124,1393.203182
-22.8,68,1394.556562
11.5,29,1395.161943
-22.9,68,1397.087794
-26.1,60,1397.729078
-0.6,124,1429.535008
-23.1,68,1430.477487
-26.0,60,1431.197562
-8.9,103,1432.479134
-20.0,75,1433.756716
-24.1,65,1435.71847
-16.3,85,1466.266764
-6.2,110,1467.582246
-24.0,65,1468.397067
-1.8,121,1470.129434
18.8,47,1470.984148
-26.8,58,1471.40203
31.8,80,1504.651101
-18.3,80,1505.691318
-27.1,58,1506.460262
-19.5,77,1507.167371
-27.0,58,1507.792698
-51.8,121,1509.379454
-22.9,68,1543.156115
20.9,53,1543.546072
-50.6,124,1545.144796
39.0,98,1546.426368
19.0,48,1547.294047
-28.9,53,1548.073961
11.0,28,1548.356206
-20.5,74,1548.832931
34.2,86,1576.348338
-33.1,43,1577.389553
-18.3,80,1579.250575
-35.7,36,1579.809082
-28.4,54,1580.934072
-28.4,54,1581.616247
-22.3,70,1582.430071
-26.6,59,1583.267831
-18.3,80,1617.786506
31.9,80,1618.574399
16.2,166,1620.695724
14.8,37,1621.089671
-16.4,84,1622.314395
-18.4,79,1622.905813
50.7,127,1653.889943
-22.9,68,1654.4295
-18.8,78,1655.478693
-9.4,102,1656.594709
-17.1,83,1657.615977
23.9,60,1689.374036
-27.1,58,1701.105659
-22.9,68,1701.854656
-26.4,59,1702.608639
31.0,78,1703.716675
12.9,33,1704.204371
-19.5,77,1704.932423
29.4,74,1706.232945
-20.4,74,1739.301499
17.3,44,1740.102356
-26.3,60,1740.98699
-20.7,74,1741.886585
-35.7,36,1742.248617
-28.7,54,1742.950738
-17.9,81,1743.793484
21.8,55,1744.623265
-15.5,87,1774.761656
-11.1,98,1776.864033
-26.0,60,1778.090752
-36.2,35,1778.876651
-25.7,61,1780.609017
-15.2,87,1781.907544
-15.2,87,1783.068438
27.6,69,1814.852429
-21.3,72,1815.455814
-26.0,60,1816.031275
-6.4,109,1817.278939
-62.7,94,1818.947475
-15.3,87,1819.734371
-14.5,89,1853.613757
-6.2,110,1867.982326
-17.4,82,1868.853994
22.4,56,1869.337701
-24.1,65,1869.864292
25.4,64,1870.603315
-22.5,69,1871.501912
13.6,34,1917.173756
19.9,50,1917.666439
16.2,41,1918.367564
32.8,82,1919.166428
-22.8,68,1919.916421
-26.9,58,1920.655445
22.5,57,1921.197994
