#{"t_start": 1751149279.0954306, "env_id": "VizdoomTakeCover-v0"}
r,l,t
19.2,48,4.535866
-21.8,71,5.033535
-18.3,80,5.797492
-22.2,70,6.592366
-0.6,124,7.698407
10.9,28,8.177126
-20.6,74,8.726657
-21.5,72,44.246644
6.4,141,46.338051
-16.7,84,48.01656
40.9,103,50.037155
-22.1,70,50.95869
-24.8,63,82.33576
-28.5,54,83.137615
-18.3,80,84.544851
-24.5,64,85.241986
-30.1,50,85.839387
-10.3,100,87.205733
-18.3,80,88.353662
-15.5,87,120.993355
-22.1,70,121.646608
10.9,28,122.278916
-29.6,51,122.643939
-27.5,57,123.456765
-21.5,72,124.428166
15.1,38,124.719388
14.2,36,125.00662
27.0,68,125.674832
-25.9,61,156.545256
19.8,50,169.798805
-10.5,99,170.562761
-15.3,87,171.201054
39.5,99,172.625244
-20.8,73,173.488934
-22.4,69,199.044577
-23.9,66,200.595427
-22.1,70,202.189163
-4.1,115,204.664543
-16.1,85,206.575431
-15.9,86,207.856006
-0.9,123,231.660332
12.7,32,232.140048
-69.0,78,233.055599
-16.8,83,233.883385
-24.2,65,234.917619
29.0,73,235.81422
-4.2,115,237.200512
-21.0,73,269.387416
-9.3,102,270.737804
-24.9,63,271.445909
-25.0,63,272.3465
-21.0,73,272.832202
-22.6,69,273.868429
-25.5,62,274.403996
18.6,47,298.952332
-21.4,72,302.328302
-21.7,71,303.720578
-20.3,75,306.177007
-21.0,73,308.453917
-21.3,72,311.3761
-65.4,87,314.214508
-21.4,72,345.131807
23.7,60,345.932664
-22.0,70,346.64077
-14.6,89,347.610178
-26.1,60,348.142753
1.1,128,349.641744
-22.4,69,380.645811
-25.2,62,381.164423
29.0,73,382.711286
-21.1,73,383.432357
-32.1,45,383.994853
16.6,42,384.303028
-4.7,114,385.248498
-9.0,103,412.121616
-20.9,73,413.022207
-47.1,133,414.282835
-9.6,101,415.58934
1.0,128,417.110272
-4.3,115,449.586401
-15.2,87,451.782527
22.6,57,452.516563
-22.9,68,453.316424
13.8,35,453.851992
-22.9,68,454.655841
-26.9,58,455.18742
12.7,32,486.025929
22.6,57,486.793875
9.6,24,487.272595
-10.0,100,488.704764
-21.0,73,489.20343
-23.1,68,489.961402
-23.2,67,490.614655
-21.3,72,491.214051
-21.8,71,518.088166
-18.8,78,518.955845
-26.0,60,520.058894
-23.0,68,521.033288
11.7,30,521.41028
11.7,155,523.629344
11.3,29,523.929541
17.8,45,556.05461
34.7,87,557.01903
20.5,52,557.712176
-21.2,72,558.537967
-14.8,88,559.713822
-15.9,86,560.8059
10.9,28,561.150978
20.9,53,561.822182
-17.2,82,587.804682
19.4,49,588.715246
13.1,33,589.701608
-1.1,123,614.740631
-21.2,72,615.497606
-28.1,55,615.819744
19.9,50,616.12792
-9.9,101,642.606094
-78.6,54,643.550567
13.6,34,644.200828
-21.1,73,644.966779
15.4,39,645.277947
28.3,71,646.503669
-24.1,65,647.480056
-23.0,68,648.325793
-23.0,68,679.354794
26.9,68,679.864432
-56.9,108,681.157971
-21.1,73,681.953842
24.6,62,682.613079
-21.2,72,683.452832
27.3,69,683.997376
-20.9,73,715.122121
-15.7,86,716.081554
35.8,90,717.648363
-11.1,98,718.939908
-23.0,68,719.589171
-16.7,84,720.707181
-12.8,93,750.989179
-12.3,95,753.196276
28.7,72,754.220536
-21.1,73,756.624107
-10.0,100,757.858804
11.6,29,758.08819
-10.4,99,786.470271
19.6,49,786.787424
-22.9,68,787.935353
-28.9,53,788.492862
9.7,25,788.917724
-21.1,73,789.679686
-17.0,83,790.855541
-21.3,72,792.469225
-16.4,84,828.044066
-4.0,115,829.516129
-0.6,124,830.892446
-29.1,53,831.505805
-22.9,68,832.140109
-21.0,73,832.713575
15.9,40,862.688397
-28.6,54,863.148165
-18.9,78,864.242239
-21.2,72,865.320355
-21.1,73,866.118221
-28.4,54,866.632845
28.9,73,867.511494
-20.9,73,868.713279
-15.3,87,908.887817
-0.3,125,910.463601
-15.2,87,911.301361
-15.2,87,915.686631
28.1,71,916.675985
-22.2,70,943.881213
22.6,57,944.593308
-15.4,87,946.027472
-16.6,84,947.505518
-16.5,84,948.960626
-16.5,84,950.576304
-23.0,68,952.199961
