#{"t_start": 1751149260.0433924, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-24.5,64,3.48069
15.7,40,3.526567
-22.1,70,3.60037
-0.0,125,3.73102
-0.8,123,3.892587
-0.3,125,29.163989
-22.4,69,29.430277
-28.7,54,29.668639
-18.4,79,30.323887
-3.1,118,30.649019
18.5,47,30.755731
-17.5,82,30.964175
30.5,77,61.849559
-85.1,163,62.278412
14.1,36,62.349222
18.6,47,62.52575
24.9,63,62.818965
36.4,91,63.040373
-55.8,111,90.262557
13.9,160,90.46302
-10.6,99,90.600652
-26.4,59,90.698391
24.5,62,90.816077
-26.0,60,113.289962
-4.2,115,113.628057
10.5,152,114.034968
-15.2,87,114.207506
-31.8,171,136.973609
-7.3,107,137.167092
-21.2,72,137.256852
-24.4,64,137.351599
-62.1,95,137.500201
-22.6,69,137.626863
-22.1,70,157.701165
-21.8,71,157.816856
3.5,134,157.994381
2.8,132,158.220775
-17.4,82,158.431213
-79.2,52,158.504018
-27.5,57,190.406682
35.3,89,190.529354
-37.0,158,190.808606
-1.0,123,191.082872
16.9,43,191.186596
-21.5,72,209.695087
14.7,37,209.769886
-13.0,93,209.909513
-21.9,71,210.026201
30.2,76,210.172809
22.0,55,210.23963
36.6,92,210.357315
-28.9,53,234.31523
21.5,54,234.439897
-4.1,115,234.743086
27.7,70,234.887699
27.0,68,234.98444
-28.2,55,235.108109
-28.4,54,235.182909
37.8,95,255.757874
-21.7,71,255.856609
-25.8,61,255.947367
6.4,141,256.160795
23.8,60,256.244572
-24.3,65,256.350288
-18.3,80,280.045905
-22.5,69,280.190519
-11.2,97,280.333138
-0.9,123,280.501686
4.9,138,280.728081
11.5,29,280.766977
13.6,159,300.984896
-21.4,72,301.077648
-9.9,101,301.333962
-25.4,62,301.456634
-13.7,91,301.587284
-29.6,51,301.653109
24.7,62,326.201445
-15.3,87,326.627306
12.5,32,326.779898
14.9,38,326.906558
-1.3,122,327.466062
-16.6,84,328.19212
-33.1,43,328.622968
3.4,134,356.841486
-12.6,94,357.020007
-28.7,54,357.092813
20.1,51,357.160632
26.7,67,357.241415
33.6,84,357.409964
10.7,152,376.791123
-15.2,87,376.938727
36.3,91,377.08334
-25.1,63,377.227956
-21.0,73,377.369575
1.6,129,399.977102
-21.1,73,400.068856
14.5,37,400.165597
-17.5,82,400.306222
-22.5,69,400.50868
-28.1,55,400.717122
-11.2,97,400.882679
-50.0,125,420.282786
-4.4,114,420.456322
25.9,190,420.729591
-23.6,66,420.869218
-18.0,80,441.470112
-5.6,111,441.680549
-23.2,67,442.066517
-25.3,62,442.376687
-14.0,90,442.61106
-16.0,85,442.808532
-25.4,62,466.668709
-28.3,55,466.84025
-9.9,101,467.00481
-0.3,125,467.235193
-15.3,87,467.38579
-16.2,85,467.526414
18.8,47,488.557159
-22.2,70,488.805496
-15.2,87,488.964071
-28.4,54,489.073777
-23.1,68,489.159548
-22.4,69,489.265265
-62.8,93,489.437804
-76.2,60,514.050966
-66.8,83,514.229488
3.2,133,514.454886
-20.8,73,514.66233
-24.7,189,515.028352
-22.8,68,533.308455
-25.5,62,533.438107
-30.2,50,533.50792
18.1,46,533.633584
-23.3,67,533.786176
-9.0,103,533.999605
28.6,72,534.154191
-22.1,70,554.592522
46.7,117,554.747108
-20.9,73,555.176958
-27.9,56,555.350494
29.3,74,555.750424
16.7,42,556.138386
16.9,43,556.795628
21.3,54,556.971159
-21.1,73,580.19404
21.8,55,580.293773
25.9,65,580.385528
0.1,126,580.676748
-20.6,74,580.889181
25.9,65,581.028807
-21.1,73,600.760028
21.2,53,600.888684
24.6,62,601.003377
-22.2,70,601.112086
22.4,56,601.233761
11.9,30,601.285623
