#{"t_start": 1751368096.1606371, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
141.8,192,8.225114
73.8,112,8.509354
51.4,96,8.677904
83.0,120,52.18159
116.2,168,52.739099
61.0,120,52.890694
75.2,128,53.194881
144.2,168,99.951868
51.4,96,101.350129
73.8,112,103.072524
133.0,160,105.193852
63.0,120,138.589563
85.0,120,140.304977
85.0,120,141.776044
85.0,120,143.476497
85.0,120,187.103852
105.8,152,189.445592
93.0,160,191.929948
107.4,136,242.6274
51.4,96,245.629374
85.0,120,249.839119
82.2,128,253.27194
62.6,104,255.332431
73.8,112,311.950054
107.4,136,315.851623
94.6,144,317.958988
89.4,136,320.090291
73.8,112,383.876362
110.8,152,386.392634
61.0,120,388.493019
73.8,112,390.592405
95.0,160,442.668172
85.0,120,444.581057
85.0,120,446.467014
61.0,120,513.619471
135.8,192,516.737135
61.0,120,518.63905
51.4,96,520.274677
73.8,112,564.143387
85.0,120,566.122096
51.4,96,567.668961
135.2,168,570.385697
85.0,120,626.961433
90.4,136,628.964077
61.0,120,630.871976
83.4,136,633.34636
70.6,144,684.052788
107.4,136,686.281828
85.0,120,688.286469
61.0,120,690.444699
70.6,144,736.335003
61.0,120,740.386172
62.6,104,743.209623
73.8,112,746.154748
51.4,96,797.586237
85.0,120,799.50012
61.0,120,801.411011
73.8,112,803.147368
51.4,96,804.692238
51.4,96,849.934276
107.4,136,852.025685
73.8,112,853.825871
51.4,96,855.601125
51.4,96,911.824802
96.2,128,914.359025
95.2,128,916.378626
62.6,104,918.0711
80.2,168,965.664851
112.6,144,968.074409
142.0,160,970.539816
51.4,96,971.946057
96.2,128,1016.687433
51.4,96,1018.276186
61.0,120,1020.317727
73.8,112,1022.634534
126.6,184,1088.684935
125.0,160,1091.53731
51.4,96,1093.143016
70.0,120,1095.180569
61.0,120,1142.052249
62.6,104,1143.651973
85.0,120,1145.706479
118.6,144,1148.178869
51.4,96,1206.396214
85.0,120,1208.321068
85.0,120,1210.605959
96.2,128,1213.058402
83.4,136,1259.988925
83.4,136,1262.057395
73.8,112,1263.554393
73.8,112,1265.287758
61.0,120,1309.898486
118.6,144,1312.131512
83.4,136,1314.496191
51.4,96,1316.157748
94.2,168,1371.6055
61.0,120,1373.62111
51.4,96,1375.274689
83.4,136,1377.681254
68.0,120,1476.56188
81.0,120,1478.443849
85.0,120,1480.368702
107.4,136,1482.667556
51.4,96,1527.09577
129.8,152,1529.498346
85.0,120,1531.811162
107.4,136,1534.188806
118.6,144,1632.605671
94.6,144,1635.073075
118.6,144,1637.271197
51.4,96,1639.002568
124.6,144,1687.764195
62.6,104,1691.137177
81.6,144,1695.510484
51.4,96,1697.160073
51.4,96,1748.069957
61.0,120,1750.318944
107.4,136,1752.419328
85.0,120,1754.49478
72.2,128,1799.535356
51.4,96,1801.23182
70.6,144,1803.556604
73.8,112,1805.358786
94.6,144,1854.82852
83.4,136,1857.34579
129.8,152,1859.583806
96.2,128,1861.789908
159.6,184,1915.222048
118.6,144,1917.988651
118.6,144,1920.24063
51.4,96,1963.920844
99.6,144,1966.168833
51.4,96,1967.780524
73.8,112,1969.597666
62.6,104,1971.354967
72.2,128,2019.671784
51.4,96,2021.442051
51.4,96,2022.950019
96.2,128,2025.147145
61.0,120,2071.559054
51.4,96,2073.176729
85.0,120,2075.383828
51.4,96,2076.988538
61.0,120,2078.789723
141.4,216,2126.881141
51.4,96,2128.583589
62.6,104,2130.553323
51.4,96,2132.031371
80.2,168,2188.505378
124.4,176,2191.478429
101.4,136,2193.55787
79.0,120,2243.612042
51.4,96,2246.553178
73.8,112,2250.322101
85.0,120,2253.641227
107.4,136,2300.453068
61.0,120,2302.603318
91.2,128,2304.503239
108.6,144,2306.838994
62.0,120,2347.194097
118.6,144,2349.200732
51.4,96,2350.654845
61.0,120,2353.120254
51.4,96,2394.424818
153.8,192,2397.566418
102.6,144,2399.8922
97.0,160,2469.718507
62.6,104,2471.634385
141.0,160,2475.123058
73.8,112,2477.427895
61.0,120,2533.808153
61.0,120,2535.461732
77.2,128,2537.28386
73.8,112,2539.188766
51.4,96,2540.689754
132.2,168,2581.271252
51.4,96,2583.226026
51.4,96,2585.414176
124.6,184,2627.887615
61.0,120,2630.575429
51.4,96,2631.847029
85.0,120,2633.865632
61.0,120,2635.753584
51.4,96,2672.144289
107.6,184,2675.789542
107.4,136,2681.399543
85.0,120,2685.472652
62.6,104,2727.896225
84.0,120,2729.864961
110.6,144,2732.149853
125.0,160,2785.674745
51.4,96,2787.103923
73.8,112,2788.51914
51.4,96,2789.859555
73.8,112,2791.40642
73.8,112,2833.088975
85.0,120,2835.321007
73.8,112,2836.883829
72.2,128,2838.638138
113.6,144,2876.190735
105.8,152,2878.591316
85.0,120,2881.514501
85.0,120,2883.144143
62.6,104,2923.496255
51.4,96,2924.8636
61.0,120,2926.560064
78.0,120,2928.389173
51.4,96,2929.730587
85.0,120,2967.620282
96.2,128,2969.567077
61.0,120,2971.296453
51.4,96,2972.789462
51.4,96,3021.23294
61.0,120,3022.958326
103.4,136,3024.881185
85.2,128,3027.008498
51.4,96,3063.700395
51.4,96,3065.019868
129.8,152,3067.686738
145.4,176,3071.599277
51.4,96,3111.889554
73.8,112,3113.591005
83.4,136,3115.523838
105.8,152,3117.900482
61.0,120,3151.591404
51.4,96,3152.928828
61.0,120,3154.894572
99.4,136,3156.820423
73.8,112,3200.721048
107.4,136,3202.789517
94.6,144,3205.12627
108.2,168,3207.598659
104.4,136,3247.690467
83.4,136,3251.766569
96.2,128,3255.351983
107.4,136,3296.686468
113.8,152,3299.75626
103.6,144,3301.571407
84.0,120,3303.342671
51.4,96,3340.251988
105.8,152,3342.583754
85.0,120,3344.300165
105.8,152,3346.384592
62.6,104,3394.780198
108.6,144,3396.964358
104.4,136,3398.965008
96.2,128,3401.016524
72.2,128,3448.463666
51.4,96,3449.868908
