#{"t_start": 1751149261.2292204, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
51.4,96,4624.632588
51.4,96,4626.912581
70.6,144,4629.929623
96.6,144,4678.194412
51.4,96,4680.305854
70.6,144,4683.517381
61.0,120,4686.336456
51.4,96,4736.82351
71.0,120,4739.363822
61.0,120,4742.100615
90.6,144,4745.418374
61.0,120,4806.52043
51.4,96,4808.472284
51.4,96,4810.159334
51.4,96,4812.584447
51.4,96,4814.284469
51.4,96,4816.400392
51.4,96,4861.780333
51.4,96,4863.897252
51.4,96,4866.071546
51.4,96,4867.5302
51.4,96,4869.216257
51.4,96,4913.182371
51.4,96,4915.181597
51.4,96,4917.214234
51.4,96,4919.024471
51.4,96,4920.615271
51.4,96,4967.526194
51.4,96,4970.373188
51.4,96,4973.568258
51.4,96,4976.591282
51.4,96,4979.672157
51.4,96,5025.431541
51.4,96,5027.437253
51.4,96,5029.903252
136.4,216,5036.682394
80.2,168,5081.633907
358.4,456,5167.056354
62.6,104,5169.273002
83.4,136,5172.062146
604.0,525,5226.216949
62.6,104,5228.204219
85.0,120,5355.523739
62.6,104,5357.589801
51.4,96,5359.592025
85.0,120,5362.173708
264.0,320,5426.200948
73.8,112,5429.074866
72.2,128,5431.856041
62.6,104,5478.137542
51.4,96,5479.673996
51.4,96,5481.952989
62.6,104,5484.441917
96.2,128,5487.029592
94.6,144,5539.606529
61.0,120,5542.164793
85.0,120,5544.350524
70.6,144,5546.752698
117.0,160,5595.604584
62.6,104,5597.685595
85.0,120,5601.04873
85.0,120,5604.245803
51.4,96,5651.68833
182.6,224,5656.662731
84.4,136,5660.367469
62.6,104,5713.495507
103.6,144,5716.819243
61.0,120,5719.024434
73.8,112,5721.721324
61.0,120,5904.450524
61.0,120,5906.177472
51.4,96,5908.100405
111.8,192,5911.823096
51.4,96,5965.079351
62.6,104,5966.974353
85.0,120,5968.797051
396.6,504,6026.192281
336.4,416,6176.477175
271.6,304,6187.735055
119.8,232,6443.460803
51.4,96,6445.997619
410.2,488,6628.956232
62.6,104,6630.660672
564.0,525,6796.659027
123.4,216,6856.136929
62.6,104,6857.743632
268.0,360,6940.256917
514.0,525,7200.353186
83.4,136,7202.798645
269.4,296,7412.636464
220.4,296,7416.487163
