#{"t_start": 1751109197.9007502, "env_id": "VizdoomTakeCover-v0"}
r,l,t
10.3,151,1425.079058
-20.9,73,1425.243618
-26.0,60,1455.329142
11.8,30,1455.396961
-0.6,124,1455.592438
-21.0,73,1455.749019
-21.2,72,1455.918566
-23.4,67,1456.022288
-10.0,100,1456.319494
-16.9,83,1495.528613
-17.1,83,1495.769967
28.9,73,1495.972426
15.9,40,1496.065177
-21.4,72,1496.316506
-25.3,62,1496.429204
37.2,93,1527.094178
16.3,41,1527.48613
-62.0,95,1527.829212
19.1,48,1527.972828
-20.7,74,1528.119436
12.4,31,1528.350817
30.9,78,1528.593168
-23.6,66,1528.945227
-4.9,113,1556.717937
57.0,143,1556.90045
-21.4,72,1557.081964
-21.5,72,1557.235553
-20.5,74,1557.365207
-61.7,96,1587.566421
27.7,70,1587.733973
-15.5,87,1587.874598
-28.4,54,1587.955381
0.5,127,1588.253583
-19.8,76,1588.482969
19.9,50,1588.589684
-26.3,60,1626.747616
6.2,141,1626.948079
21.1,53,1627.03385
-2.8,118,1627.29914
19.9,50,1627.408846
-12.6,94,1627.534511
-21.7,71,1657.748691
-21.5,72,1657.858397
-17.2,82,1658.134659
6.1,141,1658.632327
-9.8,101,1658.910583
-4.0,115,1685.501455
-12.4,94,1685.696932
-18.3,80,1685.97818
23.7,60,1686.120798
12.2,31,1686.216542
-8.1,105,1686.475849
-21.1,73,1726.916674
11.0,28,1727.021394
-35.6,36,1727.079239
-21.0,73,1727.200913
-5.4,112,1727.357494
26.0,65,1727.530033
-0.3,125,1727.872118
9.3,24,1727.941931
-77.5,57,1754.825022
-6.4,109,1754.990578
-10.5,99,1755.160125
16.8,42,1755.255869
25.8,65,1755.369565
20.9,53,1755.558061
-24.1,65,1755.717634
-22.5,69,1786.491318
4.6,137,1786.673829
-18.2,80,1786.857338
-16.7,84,1787.030874
-10.9,98,1787.222363
9.9,25,1787.291178
19.2,48,1815.324192
20.5,52,1815.41096
-17.1,83,1815.57552
-8.2,105,1815.835823
32.0,80,1816.001381
37.7,95,1816.230767
-32.6,44,1816.335487
-21.3,72,1848.431633
-22.3,70,1848.554305
-22.1,70,1848.709889
-21.7,71,1848.856497
-26.0,60,1848.974182
10.0,25,1849.053969
-15.3,87,1849.502768
-8.8,103,1878.409446
-22.4,69,1878.538101
14.8,37,1878.640827
-15.6,86,1878.84927
-28.5,54,1879.00984
26.3,66,1879.0996
22.3,56,1879.252192
-113.8,91,1879.417749
-28.4,54,1918.814366
