#{"t_start": 1751109197.9007502, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
129.8,152,7.375272
62.6,104,7.723342
73.8,112,8.02653
51.4,96,8.418483
118.6,144,66.375452
101.8,152,66.776381
73.8,112,67.069596
145.2,288,134.994903
51.4,96,136.825007
72.2,128,138.841613
83.4,136,195.516015
51.4,96,197.736077
123.4,216,201.864035
61.0,120,204.137952
94.2,128,265.066973
62.6,104,267.878454
73.8,112,271.512731
78.0,120,273.89835
85.0,120,325.531238
69.0,120,327.168857
51.4,96,329.004946
62.6,104,330.899877
62.6,104,332.77885
61.0,120,401.445175
85.0,120,403.855728
141.0,160,406.534561
73.8,112,408.278896
61.0,120,465.067991
72.0,120,467.743833
85.0,120,469.952923
151.8,192,523.664252
83.4,136,525.922212
61.0,120,528.097393
85.0,120,530.230688
85.0,120,582.079995
73.8,112,584.331974
81.6,144,586.777431
73.8,112,588.644436
81.0,120,641.23576
62.0,120,643.283283
99.2,168,646.64529
91.6,144,648.999991
62.6,104,709.442314
51.4,96,711.303336
61.0,120,713.563291
118.6,144,716.281021
94.6,144,769.654253
114.2,168,772.527567
85.0,120,775.215378
73.8,112,778.57938
61.0,120,840.404005
85.0,120,842.684904
51.4,96,844.202843
70.6,144,846.591454
51.4,96,900.506238
51.4,96,901.913474
70.6,144,904.365915
118.6,144,906.524141
51.4,96,961.742436
63.0,120,963.717155
85.0,120,965.794598
261.0,400,1032.527095
51.4,96,1034.268438
62.6,104,1035.701604
62.6,104,1037.629447
51.4,96,1090.012328
51.4,96,1091.731729
96.2,128,1093.973732
96.2,128,1095.896588
85.0,120,1160.818927
105.4,136,1163.161661
89.2,168,1165.843487
70.6,144,1168.47445
129.2,168,1221.451741
114.0,160,1224.054779
73.8,112,1225.884882
51.4,96,1227.518513
77.0,120,1285.40966
51.4,96,1287.337503
73.8,112,1289.159629
83.4,136,1292.941513
61.0,120,1371.380697
94.6,144,1374.126352
61.0,120,1376.147944
118.6,144,1378.55351
116.2,168,1434.62652
107.4,136,1436.711942
51.4,96,1438.405412
104.2,168,1507.723992
89.4,136,1509.969984
62.6,104,1511.833997
70.6,144,1514.265493
62.6,104,1564.99779
51.4,96,1566.694252
129.8,152,1569.209525
73.8,112,1571.155319
106.8,152,1630.026844
85.0,120,1632.006549
62.6,104,1633.919432
62.6,104,1635.577995
73.8,112,1637.54274
51.4,96,1695.613406
107.4,136,1697.693842
51.4,96,1699.329467
51.4,96,1700.828457
73.8,112,1762.643109
62.6,104,1764.189971
82.0,120,1766.245473
96.2,128,1768.525374
77.6,144,1817.615064
83.0,120,1819.837121
61.0,120,1821.700137
51.4,96,1823.351719
51.4,96,1825.080096
85.0,120,1887.31662
84.0,120,1890.208884
85.0,120,1894.229131
51.4,96,1897.553238
105.8,152,1958.195027
71.0,120,1960.202657
51.4,96,1961.871194
118.2,168,1964.700625
61.0,120,2018.56255
107.4,136,2020.948169
133.4,176,2023.84143
73.0,120,2074.323396
51.4,96,2075.776509
75.6,144,2077.979616
61.0,120,2080.077006
113.2,168,2133.502099
85.0,120,2135.364117
93.0,160,2138.050931
73.8,112,2140.127377
129.2,168,2199.8596
61.0,120,2201.714638
85.0,120,2203.55671
64.0,120,2205.604233
85.0,120,2266.23206
85.0,120,2268.887955
51.4,96,2270.560481
73.8,112,2272.35568
73.8,112,2326.882826
51.4,96,2328.720908
63.0,120,2330.785386
102.6,224,2334.515409
62.6,104,2386.085464
51.4,96,2387.915569
51.4,96,2389.550196
118.6,144,2391.915868
93.0,160,2454.479516
68.0,120,2456.547984
51.4,96,2457.975166
85.0,120,2460.264043
85.0,120,2522.400834
51.4,96,2524.01751
113.8,192,2527.373532
95.2,128,2529.906757
85.0,120,2590.754994
141.8,192,2593.982361
92.2,168,2596.86166
107.4,136,2657.653048
62.6,104,2659.411345
94.6,144,2662.122094
51.4,96,2663.913302
175.2,208,2726.861922
51.4,96,2728.419754
51.4,96,2730.115219
73.8,112,2732.314337
51.4,96,2734.126489
66.0,120,2790.920571
100.6,144,2795.560162
51.4,96,2797.951764
81.8,152,2873.01398
85.0,120,2875.431512
118.6,144,2878.013606
144.4,176,2881.418499
132.2,168,2938.610515
104.2,168,2943.262074
85.0,120,2946.67694
94.6,144,3005.277188
152.2,168,3009.062065
171.6,224,3017.235203
142.4,216,3080.205763
80.2,168,3084.901203
51.4,96,3087.677776
149.6,224,3152.851443
61.0,120,3155.922229
128.2,168,3159.248331
76.2,128,3231.268684
167.6,184,3234.740399
85.6,144,3237.541904
80.2,168,3301.992506
61.0,120,3305.770401
159.8,192,3311.078202
70.6,144,3367.707724
139.2,168,3370.857299
117.0,160,3373.986928
118.6,144,3377.002861
111.0,160,3447.460394
85.0,120,3450.048471
102.6,184,3453.947042
70.6,144,3520.364383
83.4,136,3522.440828
128.6,184,3526.001305
61.0,120,3588.484169
51.4,96,3590.626438
176.8,192,3594.487112
162.0,200,3656.579022
51.4,96,3658.648486
51.4,96,3660.405786
91.8,192,3664.374171
73.8,112,3715.59516
163.0,200,3719.628371
85.0,120,3721.784604
51.4,96,3723.568832
100.8,192,3777.622244
161.8,192,3781.476933
178.8,232,3837.887042
201.2,208,3842.383016
139.4,176,3846.050206
74.6,144,3892.314455
141.2,248,3897.571393
94.6,144,3900.401822
143.8,192,3947.8509
51.4,96,3951.655722
98.4,176,3958.832525
51.4,96,4002.499719
267.2,328,4010.408564
188.8,232,4091.974384
133.6,184,4095.921825
490.0,525,4160.200885
157.6,224,4214.008954
198.6,384,4222.108289
124.4,216,4275.565298
61.0,120,4277.670665
388.6,504,4349.731909
126.8,152,4353.198635
73.8,112,4411.941504
51.4,96,4414.123667
96.2,128,4416.616997
212.4,296,4471.860228
104.2,168,4475.628149
96.2,128,4478.226199
113.8,232,4585.624918
136.6,184,4588.796435
65.0,120,4591.189035
336.2,408,4646.515044
279.8,392,4702.200092
85.0,120,4704.867956
51.4,96,4706.822727
466.0,525,4766.443249
226.2,288,4822.62796
582.0,525,4922.814969
113.8,192,4925.404044
480.0,525,4981.354383
195.2,248,5133.094493
530.0,525,5340.617391
83.4,136,5343.591435
128.6,224,5493.115473
149.0,200,5499.016688
163.4,176,5501.632691
51.4,96,5640.287802
320.0,525,5743.349124
51.4,96,5744.672584
249.4,376,5798.214365
118.6,144,5801.308089
123.4,256,5805.156795
126.6,184,5864.179914
51.4,96,5866.285282
137.8,192,5870.374344
133.4,176,5978.692604
118.6,144,5980.575567
93.0,160,5982.946226
51.4,96,5984.229792
104.0,160,6064.769358
51.4,96,6066.684235
73.8,112,6068.586148
178.4,216,6138.526066
102.6,224,6142.896376
51.4,96,6144.735456
70.6,144,6196.420205
121.2,208,6200.11532
171.8,192,6203.58105
109.4,176,6276.421211
188.0,200,6281.447764
131.8,192,6285.169809
89.8,192,6337.93766
126.0,160,6340.557652
83.4,136,6342.640081
61.0,120,6387.198891
70.6,144,6389.914627
51.4,96,6391.839478
73.8,112,6393.329493
85.0,120,6443.936127
200.8,232,6448.117939
73.8,112,6450.463665
51.4,96,6525.036191
125.0,200,6528.43809
89.8,192,6531.804087
51.4,96,6593.042281
77.6,144,6595.726102
91.2,128,6597.687854
51.4,96,6599.014306
105.8,152,6660.58162
51.4,96,6662.147431
51.4,96,6663.522753
70.6,144,6665.586233
