#{"t_start": 1752405691.0671787, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
94.6,144,3.606305
73.8,112,3.724988
90.2,128,3.874588
107.4,136,49.897031
93.0,160,50.203211
118.6,144,50.350816
75.6,144,50.575216
85.0,120,100.63629
93.8,192,103.557476
83.4,136,105.81344
83.4,136,139.364682
61.0,120,141.541858
63.0,120,143.789844
91.4,176,146.404848
51.4,96,183.670155
85.0,120,185.537159
107.4,136,187.541797
78.0,120,189.707005
73.8,112,239.182645
68.0,120,241.005767
51.4,96,242.313269
129.8,152,244.485458
94.6,144,283.993764
149.0,200,286.762357
107.4,136,288.878695
74.6,144,328.86572
94.6,144,331.018959
113.6,144,333.114354
51.4,96,334.465738
127.0,160,365.196526
85.0,120,366.732416
101.6,144,368.734062
118.6,144,370.676864
103.0,160,416.166169
73.8,112,418.082044
129.8,152,420.732952
73.8,112,464.902786
51.4,96,466.83761
73.8,112,468.879149
51.4,96,470.435985
73.8,112,472.959234
107.4,136,524.735719
83.4,136,526.790223
62.6,104,528.413878
61.0,120,530.028559
51.4,96,575.6914
51.4,96,579.851271
140.2,168,582.294734
61.0,120,584.577626
81.8,152,623.867516
73.8,112,626.01178
118.6,144,629.223188
77.0,120,631.592849
80.2,168,670.85681
51.4,96,672.240108
94.6,144,674.808237
61.0,120,676.64632
51.4,96,718.185193
117.0,160,721.826452
51.4,96,723.814134
85.0,120,727.175143
85.0,120,768.213355
83.0,120,770.067395
73.8,112,771.731943
83.0,120,774.011843
146.6,224,818.693308
135.0,160,821.25346
141.2,168,824.458885
129.8,152,869.368739
73.8,112,870.832823
51.4,96,872.276959
51.4,96,873.718104
61.0,120,912.124357
140.2,168,914.861036
51.4,96,916.60537
73.8,112,918.494317
85.0,120,967.522134
51.4,96,969.190247
73.8,112,971.172025
130.2,168,974.399036
85.0,120,1025.089453
61.0,120,1027.207786
73.8,112,1028.95611
151.2,168,1031.425503
51.4,96,1067.402256
70.6,144,1069.361016
148.2,168,1071.687791
118.6,144,1073.566764
61.0,120,1111.363647
62.6,104,1112.940429
51.4,96,1114.362625
51.4,96,1116.134884
85.0,120,1151.263905
73.8,112,1153.100991
73.8,112,1155.076704
96.6,144,1157.452349
51.4,96,1158.774812
51.4,96,1203.819305
85.0,120,1205.888769
96.2,128,1207.838554
147.0,200,1250.852481
73.8,112,1252.535977
62.6,104,1254.321201
72.2,128,1256.163273
51.4,96,1257.612396
78.0,120,1295.730422
102.6,184,1298.77727
106.6,144,1301.29653
82.0,120,1337.929528
107.4,136,1340.30218
51.4,96,1341.708418
93.8,152,1344.199753
96.2,128,1386.894534
115.2,168,1389.442717
51.4,96,1390.763184
112.2,168,1393.096941
73.8,112,1430.760183
101.2,168,1433.271465
107.4,136,1435.347909
85.0,120,1473.515801
146.4,176,1475.970235
252.6,384,1518.470536
83.0,120,1522.112792
85.0,120,1525.277326
70.6,144,1527.377707
73.8,112,1567.42158
64.0,120,1569.24171
51.4,96,1570.818492
51.4,96,1572.518943
85.0,120,1608.831797
62.6,104,1610.423538
85.0,120,1612.499983
85.0,120,1614.231351
84.0,120,1616.110324
62.6,104,1706.714936
73.8,112,1708.47722
83.4,136,1710.561644
85.0,120,1712.432639
112.6,144,1748.465242
85.0,120,1750.203593
96.2,128,1751.886091
123.8,152,1753.988467
61.0,120,1794.456205
96.2,128,1796.598474
61.0,120,1798.203181
63.0,120,1800.519983
51.4,96,1843.112039
83.4,136,1845.196463
118.6,144,1847.266923
81.0,120,1849.131933
73.8,112,1907.532697
83.4,136,1909.821573
85.0,120,1911.569897
51.4,96,1913.061905
129.8,152,1956.832808
79.0,120,1958.576144
72.6,144,1960.52493
116.6,144,2000.323458
51.4,96,2001.884283
107.4,136,2003.806142
73.8,112,2005.437776
70.6,144,2007.953049
70.6,144,2048.534482
51.4,96,2049.882875
73.8,112,2051.55141
83.4,136,2053.616885
124.0,160,2103.627095
61.0,120,2106.574211
61.0,120,2109.337818
83.4,136,2148.747388
73.8,112,2150.258345
122.6,144,2152.454471
73.8,112,2154.35738
95.0,160,2204.717654
73.8,112,2206.712317
129.8,152,2208.917418
61.0,120,2210.803373
61.0,120,2252.456938
107.4,136,2254.68099
72.2,128,2256.529045
118.6,144,2258.682284
96.2,128,2297.840526
72.2,128,2299.661654
61.0,120,2301.478793
73.8,112,2303.338817
152.2,168,2350.641271
85.0,120,2352.647903
164.4,216,2356.134576
118.6,144,2404.747523
65.0,120,2406.404093
51.4,96,2407.916047
62.6,104,2409.491831
51.4,96,2451.455568
85.0,120,2453.36147
51.4,96,2454.746763
73.8,112,2456.884046
83.6,144,2460.825501
70.6,144,2507.363001
73.8,112,2509.017576
73.8,112,2510.837706
62.6,104,2512.318744
83.4,136,2551.760228
94.6,144,2553.94638
89.6,144,2556.074685
83.4,136,2596.533449
84.2,168,2598.94001
104.2,168,2601.430348
83.4,136,2603.446953
51.4,96,2696.065176
113.6,144,2698.306181
61.0,120,2700.227042
85.0,120,2701.737003
107.4,136,2748.347308
116.6,144,2750.312052
102.4,136,2752.112237
73.8,112,2753.474592
93.0,160,2791.754184
61.0,120,2793.663078
118.6,144,2796.129479
85.0,120,2839.285027
73.8,112,2841.103164
107.4,136,2843.064915
63.0,120,2844.851137
89.4,136,2894.063481
51.4,96,2895.452765
51.4,96,2896.91984
61.0,120,2898.655197
85.0,120,2900.661829
128.4,176,2951.98752
85.0,120,2953.777731
80.6,144,2955.786357
51.4,96,2994.471864
62.6,104,2995.978832
85.0,120,2998.271698
85.0,120,2999.999077
70.0,120,3001.860098
61.0,120,3040.825856
85.0,120,3042.747715
104.2,168,3045.310857
73.8,112,3047.141958
119.8,152,3089.654227
85.0,120,3091.470369
70.6,144,3093.430126
82.6,144,3142.402113
72.2,128,3144.207284
86.6,144,3146.363516
85.0,120,3148.300334
51.4,96,3202.912234
94.6,144,3206.016928
73.8,112,3208.253943
94.6,144,3210.966686
96.2,128,3249.463697
70.6,144,3251.602973
51.4,96,3253.022177
73.8,112,3254.776484
81.6,144,3292.648168
51.4,96,3294.205003
85.0,120,3295.976265
93.0,160,3298.159424
105.4,136,3346.387403
85.0,120,3349.753398
118.6,144,3351.860759
51.4,96,3353.09047
73.8,112,3389.896007
73.8,112,3391.934552
51.4,96,3393.353755
133.2,168,3395.821155
148.8,192,3438.068134
80.2,168,3440.687127
239.0,240,3486.258213
110.6,144,3488.301746
85.0,120,3489.943354
71.0,120,3491.91109
104.2,168,3545.901652
61.0,120,3547.979094
62.6,104,3549.413257
85.0,120,3551.547548
119.0,160,3599.876256
