#{"t_start": 1752319385.827803, "env_id": "VizdoomTakeCover-v0"}
r,l,t
16.8,42,3.514604
41.2,103,3.894587
-11.4,97,4.371313
25.8,65,4.565793
-21.8,71,4.742321
-4.3,115,5.052491
-28.8,53,42.626035
-22.9,68,42.749704
-22.4,69,42.888333
29.2,73,43.171576
-24.8,63,43.251363
3.4,134,43.406947
-23.2,67,66.353596
17.2,43,66.41543
-33.5,42,66.503197
-30.2,50,66.673741
-0.2,125,67.346941
-26.0,60,67.606247
-20.0,75,68.129847
16.7,42,68.240551
28.5,72,85.482453
12.8,157,85.732784
-30.0,50,85.788635
-27.6,56,85.852463
-21.8,71,86.01104
-16.4,84,86.11576
36.7,92,103.216041
-121.4,72,103.342702
-21.9,71,103.446424
-20.3,75,103.553139
-24.7,64,103.671822
-69.5,77,103.774547
4.4,136,130.401358
18.3,46,130.476157
-28.9,53,130.573896
15.4,39,130.655677
-19.7,76,130.814254
-28.0,55,130.875091
-31.3,47,130.94291
29.0,73,131.032669
-22.2,70,131.122429
34.4,86,145.271601
-36.6,34,145.314486
19.4,174,145.720401
23.3,59,146.005638
-45.6,136,146.182165
-4.6,114,167.623839
29.3,74,167.734543
-26.4,59,167.910073
10.7,27,167.955951
-15.4,87,168.077626
-25.5,62,168.194314
-12.8,93,168.358874
-24.2,65,193.724057
15.1,38,193.954441
22.0,55,194.143936
-12.6,94,194.844064
16.1,166,195.538208
16.4,41,195.609018
-13.1,93,211.81868
13.1,33,211.945341
11.8,30,212.138823
4.1,136,212.647463
27.5,69,212.847928
21.9,55,213.123191
-26.0,60,213.310691
13.0,33,213.408428
31.3,79,232.680902
18.2,46,232.804571
-12.3,95,232.912283
14.3,161,233.093799
-25.6,61,233.172587
4.3,136,250.287827
4.3,136,250.700725
-37.5,32,250.938089
-0.7,124,251.582366
17.7,45,251.778841
41.5,104,252.165807
-9.9,101,271.764408
25.0,63,271.899047
-22.2,70,271.986813
20.2,51,272.045655
18.6,47,272.117464
-58.7,104,272.236146
-0.0,125,289.139952
-0.6,124,289.327451
-23.2,67,289.400256
22.1,56,289.496997
-9.5,102,289.640614
-21.9,71,289.760293
-18.3,80,309.156436
-22.2,70,309.275119
-24.5,64,309.374853
-42.8,143,309.602245
-17.6,81,309.870527
-25.4,62,309.940341
-26.0,60,335.241694
31.8,80,335.332452
28.2,71,335.414233
-4.7,114,335.560841
-16.6,84,335.739363
15.7,40,335.784243
22.6,57,335.847075
-15.6,86,361.483533
-22.5,69,361.625155
4.3,136,361.804675
2.6,132,361.976216
-26.1,60,362.119832
-20.6,74,379.655948
-18.4,79,379.753686
-14.2,90,379.889323
-11.7,96,380.002023
-8.5,104,380.17855
4.5,137,402.390165
-16.5,84,402.489898
6.3,141,402.654459
19.6,174,402.892821
-31.1,48,402.9756
-25.2,62,419.908329
-27.4,57,420.022024
-25.6,61,420.128739
-20.9,73,420.221491
-28.7,54,420.313246
-50.4,124,420.527673
-21.2,72,420.645357
52.7,132,441.454721
-28.6,54,441.52653
-16.7,84,441.626263
-21.8,71,441.727991
-49.1,128,441.92646
-20.3,75,458.94097
-22.2,70,459.036714
-22.3,70,459.138442
18.2,46,459.248149
34.4,86,459.380795
3.8,135,459.706923
23.9,60,460.176666
-3.2,117,484.178494
11.4,29,484.216394
9.1,23,484.256287
-22.3,70,484.383945
-3.6,116,484.559476
-11.9,96,484.684143
-11.5,97,502.317
-22.0,70,502.436679
-13.4,92,502.539405
-28.4,54,502.617197
-0.1,125,502.755827
-30.1,50,502.878498
-17.9,81,523.51632
-60.7,99,523.741718
-22.4,69,523.880348
14.0,35,523.998032
-8.5,104,524.214454
-7.9,106,524.34311
-20.9,73,551.408747
-10.2,100,551.553361
-21.2,72,551.635142
-4.3,115,551.783745
-78.0,55,551.859542
25.0,63,552.007147
-0.8,123,572.49537
-21.9,71,572.628015
11.0,28,572.692842
-28.2,55,572.838452
-13.1,93,572.955141
-21.4,72,573.047892
-26.4,59,573.126682
-22.7,69,573.271295
-28.8,53,595.276462
4.1,136,595.801059
-17.7,81,596.296734
-0.2,125,596.899123
-11.5,97,597.385822
10.5,152,614.740423
-25.8,61,614.878056
19.8,50,614.983772
-96.9,133,615.404647
-25.2,62,615.576188
-3.8,116,635.943734
-19.7,76,636.070395
-17.2,82,636.26687
-17.9,81,636.368598
-20.3,75,636.509221
-16.7,209,656.275376
-1.6,121,656.600505
-28.7,54,656.761076
-17.1,83,657.09618
34.4,86,657.628756
-28.3,55,657.775364
-11.7,96,676.116328
44.4,111,676.265928
16.0,40,676.325768
-63.5,92,676.466391
18.7,47,676.527229
-21.5,72,676.62397
-17.2,82,693.880832
21.9,55,694.026444
-64.8,88,694.365536
-10.1,100,694.737542
-37.3,32,694.817329
-27.9,56,694.937009
-28.3,55,695.155425
-9.7,101,695.692987
-18.8,78,716.129348
-8.9,103,716.287925
-0.0,125,716.437524
-8.2,105,716.64497
-28.8,53,716.719769
-23.2,67,747.630128
19.0,48,747.758783
5.7,140,748.479856
-21.3,72,748.722208
18.6,47,748.956581
-28.5,54,749.154054
-15.9,86,749.33457
25.1,63,767.206787
31.4,79,767.298541
17.5,44,767.352398
-18.3,80,767.465096
15.8,40,767.535908
-16.8,83,767.655587
-20.5,74,767.832115
-3.9,116,790.594258
-25.1,63,790.708951
10.6,27,790.74685
-15.3,87,790.860546
-0.9,123,791.048044
-8.6,104,791.193655
26.1,191,808.590144
-10.5,99,808.720795
-22.5,69,808.821525
-12.2,95,808.95816
-21.8,71,809.040939
-17.3,82,830.620244
-15.9,86,830.728953
-14.6,89,830.863594
-20.1,75,830.976293
-21.4,72,831.159801
-17.4,82,831.303418
-23.0,68,852.534653
18.9,48,852.596488
-20.7,74,852.707192
-19.6,76,852.799944
-37.9,31,852.844824
-1.5,122,853.019357
-28.6,54,853.106125
-23.9,66,873.903522
-16.3,85,874.160834
11.5,29,874.242615
-17.6,81,874.426124
16.2,41,874.493943
-29.4,52,874.593677
-26.0,60,874.665484
-17.1,83,874.773196
-23.3,67,892.498805
-23.0,68,892.707247
-2.7,119,892.838896
-24.7,64,892.923669
-20.4,74,893.071274
-26.4,59,893.238826
-25.6,61,893.333573
-0.7,124,913.591412
32.1,206,913.841742
-24.2,65,913.923524
-6.3,110,914.06315
-18.3,80,936.429352
-22.1,70,936.783405
12.3,31,937.003816
-7.1,108,937.717907
-22.9,68,938.013117
-24.8,63,938.381134
-24.3,65,938.612515
-7.1,108,965.548498
27.9,70,965.651223
-22.1,70,965.742978
-9.6,101,965.902552
-26.9,58,965.978349
21.3,54,966.048162
-5.4,112,983.831618
22.1,56,983.964262
-24.7,64,984.068982
-36.2,35,984.167718
58.2,146,984.33128
-21.6,71,984.462928
-7.5,107,984.625494
1.5,129,1005.855732
1.8,130,1006.052208
15.8,40,1006.12202
-8.9,103,1006.303535
-22.8,68,1006.387311
-24.1,65,1025.221955
-16.8,83,1025.408456
28.0,70,1025.501208
-25.3,62,1025.601939
-28.7,54,1025.671752
10.5,27,1025.792429
-14.7,89,1025.926072
20.8,52,1025.989901
-21.1,73,1046.607777
-9.8,101,1046.789292
15.5,39,1046.843148
9.1,23,1046.870076
-28.2,55,1046.937895
-28.0,55,1047.029649
-16.6,84,1047.136364
10.4,151,1064.035184
-25.1,63,1064.142895
-57.9,106,1064.29449
-20.3,75,1064.411178
-60.8,98,1064.539834
-4.5,114,1064.677465
-21.9,71,1086.510094
-12.4,94,1086.634761
-8.2,105,1086.823257
10.5,27,1086.86315
26.1,191,1087.098521
-37.5,32,1104.945804
-28.8,53,1105.028583
-31.2,47,1105.115351
1.8,130,1105.356705
15.3,164,1105.631969
-20.1,75,1105.716742
-21.7,71,1128.137798
-64.6,89,1128.24551
24.4,61,1128.333275
-18.4,79,1128.45495
-20.8,73,1128.557675
-22.7,69,1128.696304
35.6,89,1154.716736
22.2,56,1154.816469
-16.0,85,1154.955098
-17.1,83,1155.200443
-21.4,72,1155.358021
-19.8,76,1155.441797
-9.0,103,1155.593392
26.9,193,1175.755487
4.1,136,1175.953956
-16.7,84,1176.06067
-8.0,105,1201.675187
20.5,177,1201.928511
-22.6,69,1202.021263
-9.4,102,1202.154905
1.3,129,1202.308494
5.6,139,1222.217266
20.6,52,1222.29805
-22.5,69,1222.380828
-25.7,61,1222.465602
-17.1,83,1222.59326
-28.1,55,1222.689004
2.5,132,1239.923925
10.9,28,1239.96681
12.7,32,1240.017674
27.0,68,1240.162288
30.3,76,1240.324853
-17.0,83,1240.524321
13.7,35,1240.576181
27.5,69,1240.696858
-26.5,59,1258.88523
0.8,127,1259.039816
10.4,26,1259.144536
-23.3,67,1259.228312
-26.6,59,1259.312089
-26.0,60,1259.383897
-15.2,87,1259.552446
-24.1,65,1277.544343
17.7,45,1277.622134
12.5,32,1277.674993
-16.7,84,1277.801655
-44.5,139,1278.108833
23.3,59,1278.204577
-21.9,71,1278.290348
-10.2,100,1300.467056
-8.0,105,1300.646576
16.2,41,1300.703424
-22.1,70,1300.803158
-5.8,111,1300.948768
-28.7,54,1301.06047
-17.4,82,1318.925705
-17.9,81,1319.053363
-19.9,76,1319.266793
-2.8,118,1319.409412
-8.3,105,1319.534078
-16.9,83,1319.631817
-14.9,88,1348.839726
66.7,167,1349.525891
-6.3,110,1350.481338
-23.0,68,1350.748624
-17.6,81,1351.180468
-0.9,123,1372.240163
-27.3,57,1372.351864
-22.4,69,1372.445614
-25.1,63,1372.582248
11.7,30,1372.665027
-21.4,72,1372.847539
-17.0,83,1372.951261
3.8,135,1393.994001
16.1,41,1394.045863
-69.8,76,1394.134625
-28.5,54,1394.200449
-24.6,64,1394.318135
9.6,24,1394.352044
18.5,172,1410.987567
-0.5,124,1411.18504
-12.4,94,1411.318682
29.0,198,1411.565023
-21.8,71,1434.586473
-14.0,90,1434.693188
-22.4,69,1434.806884
-27.9,56,1434.885672
4.5,137,1435.099102
-4.2,115,1452.659153
22.7,57,1452.838673
23.3,59,1452.919458
4.5,137,1453.094988
-28.1,55,1453.173777
24.3,61,1453.258551
32.8,82,1453.372247
-21.8,71,1473.999099
10.6,27,1474.082875
9.7,25,1474.117781
-19.3,77,1474.285334
-6.9,108,1474.436928
-21.6,71,1474.521702
55.8,140,1474.720171
21.1,53,1491.936143
-26.0,60,1492.006953
12.2,31,1492.120649
-67.2,82,1492.332084
20.6,52,1492.525566
-8.0,105,1492.70708
15.8,40,1492.812799
-15.4,87,1493.225694
50.4,126,1513.683
-16.9,83,1513.780738
-22.3,70,1513.862519
4.6,137,1514.104872
-25.6,61,1514.192637
13.0,33,1514.269431
-0.0,125,1530.106091
-15.6,86,1530.333483
