#{"t_start": 1752660785.4224875, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
51.4,96,8.089574
139.4,176,8.371819
85.0,120,8.61417
82.8,152,53.54649
73.8,112,54.341363
93.0,160,55.170146
85.0,120,55.46436
147.2,168,111.982209
96.2,128,114.057656
93.0,160,116.87013
73.8,112,153.172004
62.6,104,154.867468
73.8,112,156.798302
70.6,144,158.582528
51.4,96,160.041625
62.0,120,198.657307
96.2,128,200.627038
61.0,120,202.510998
85.0,120,204.209452
51.4,96,240.383667
51.4,96,241.814838
62.6,104,243.570142
96.0,160,245.455098
89.8,192,289.58802
61.0,120,291.084017
123.8,152,293.412786
98.4,136,327.126585
138.4,176,329.827358
73.8,112,331.467969
91.2,128,333.222275
51.4,96,365.336353
101.6,144,367.495576
85.0,120,369.371557
51.4,96,370.820679
72.0,120,372.460293
62.6,104,404.29013
51.4,96,405.916778
51.4,96,407.293097
94.6,144,409.552052
62.6,104,446.822334
112.0,160,448.971584
51.4,96,450.230217
107.4,136,452.244826
73.8,112,498.108118
87.6,144,500.333165
51.4,96,501.907951
61.0,120,503.56053
51.4,96,504.955797
51.4,96,539.209151
61.0,120,540.989388
61.0,120,542.658921
51.4,96,544.197803
73.8,112,582.007643
187.6,264,586.171502
84.6,144,588.294821
72.0,120,622.398576
83.4,136,624.577745
62.6,104,626.090697
96.2,128,627.945734
73.8,112,662.45241
61.0,120,664.389229
61.0,120,666.366937
51.4,96,670.115907
51.4,96,673.462953
73.8,112,713.9975
83.4,136,715.864505
118.6,144,717.874128
51.4,96,719.310286
51.4,96,754.091229
70.6,144,755.984164
85.0,120,757.572914
71.0,120,759.426953
61.0,120,796.90468
83.4,136,799.361109
83.6,144,801.633029
73.8,112,803.335474
51.4,96,835.406666
51.4,96,836.935576
77.0,120,838.938218
105.0,160,841.294912
85.0,120,885.336079
96.2,128,887.237991
73.8,112,888.849678
62.6,104,890.313761
61.0,120,939.450295
51.4,96,940.75281
62.6,104,942.323607
115.4,176,945.010418
51.4,96,946.539329
70.6,144,980.998133
73.8,112,982.882093
83.4,136,985.071235
85.0,120,1019.077251
83.4,136,1021.138736
123.8,152,1023.424619
51.4,96,1024.971481
133.0,160,1070.467754
85.0,120,1072.302845
73.8,112,1074.13195
77.0,120,1075.818439
76.6,144,1119.261206
104.2,168,1122.149478
83.4,136,1124.234899
248.6,344,1161.174067
93.0,160,1163.569658
73.8,112,1165.408737
113.2,168,1213.950861
85.0,120,1215.841802
129.8,152,1218.219441
51.4,96,1219.586782
94.6,144,1253.450179
51.4,96,1254.818519
61.0,120,1256.741374
222.6,224,1291.639004
78.6,144,1293.837123
73.8,112,1295.41191
100.2,168,1347.832656
82.0,120,1349.753517
79.0,120,1351.60257
104.8,152,1353.828614
83.4,136,1387.555378
51.4,96,1389.367529
121.2,168,1391.834927
83.0,120,1393.721879
118.6,144,1442.513336
51.4,96,1443.900623
118.6,144,1446.143622
112.6,144,1448.102382
73.8,112,1492.206381
70.0,120,1493.952709
73.8,112,1495.471644
51.4,96,1496.932735
73.8,112,1498.726936
83.0,120,1542.325287
119.8,152,1544.549336
62.6,104,1546.079242
83.0,120,1547.874439
85.0,120,1581.134452
61.0,120,1582.78703
71.6,144,1584.915335
73.8,112,1586.59584
73.8,112,1620.490154
126.6,184,1623.230821
61.0,120,1624.927283
51.4,96,1659.419996
68.0,120,1661.272041
51.4,96,1662.939579
73.8,112,1664.660973
76.0,120,1666.368405
118.6,144,1709.349408
79.2,128,1711.398925
