#{"t_start": 1751118434.6678536, "env_id": "VizdoomTakeCover-v0"}
r,l,t
13.3,34,3.227367
-17.1,83,3.352034
-17.1,83,3.499637
-16.2,85,3.645249
5.2,138,3.887601
25.9,65,4.013265
-22.0,70,32.857111
-27.7,56,33.007707
-17.7,81,33.255045
1.8,130,33.588154
-25.0,63,33.683898
-25.5,62,33.856436
-25.4,62,68.321247
-2.9,118,68.539663
-63.9,91,68.749102
-8.9,103,68.94458
-21.3,72,69.077224
-19.2,77,69.345508
-21.3,72,99.459954
-28.5,54,99.560685
-21.8,71,99.782092
-28.7,54,99.853901
-21.1,73,99.994524
5.4,139,100.286742
41.4,104,135.002881
-21.7,71,135.239248
-25.9,61,135.312054
25.4,64,135.505537
11.8,30,135.640177
-22.3,70,135.755866
-32.2,45,135.819695
17.7,45,135.886517
-12.1,95,165.305823
-22.2,70,165.434478
21.9,55,165.554159
-4.6,114,165.846377
28.5,72,166.025897
26.9,68,166.184473
-5.3,112,207.386262
-15.6,86,207.547831
25.9,65,207.73832
31.5,79,207.870965
15.5,39,207.931803
-12.3,95,208.110325
27.5,69,208.373621
-25.8,61,240.133667
-22.2,70,240.328147
1.4,129,240.673224
31.9,80,241.087116
-28.3,55,241.405265
-114.7,89,241.683521
-81.1,48,241.760316
18.1,46,274.290302
-8.2,105,274.602465
-21.0,73,274.764035
15.2,38,274.830854
-22.5,69,275.034311
-17.5,82,275.175932
-25.0,63,275.302593
-0.5,124,304.44863
30.4,76,304.75581
18.8,47,304.875488
-18.7,79,305.342241
23.9,60,305.722225
-2.4,119,305.982527
-24.8,63,340.933038
25.5,189,341.361891
-62.2,95,341.531437
-18.4,79,341.801715
18.0,45,341.901449
-22.5,69,342.148785
-17.2,82,371.504265
11.2,28,371.602999
-25.8,61,371.707719
-2.9,243,372.632246
-22.9,68,372.782843
-64.5,89,409.085737
11.4,29,409.146574
-22.4,69,409.26027
-61.0,98,409.414856
-21.7,71,409.647236
0.9,128,409.904546
-16.5,84,441.232748
-9.0,103,441.604751
-25.2,62,441.799231
-55.0,113,442.091449
-22.8,68,442.396634
-0.0,125,485.282917
21.3,179,485.976063
14.2,36,486.042884
27.6,69,486.173534
-0.2,125,486.681177
-22.6,69,486.803848
24.2,61,517.469821
-21.3,72,517.900667
-9.9,101,518.06822
-22.0,70,518.564892
11.0,28,518.739424
20.7,52,518.817216
-22.6,69,519.049594
-20.1,75,551.288359
-8.8,103,551.615484
-21.2,72,551.736161
27.5,69,551.884764
-18.0,80,552.126118
-31.9,46,552.283697
16.5,42,552.441275
-22.0,70,591.041024
1.4,129,591.476858
21.6,54,591.660368
0.2,126,591.918678
19.7,175,592.734494
-28.1,55,626.627834
16.1,41,626.690666
17.2,43,626.78242
-17.3,82,626.961939
35.3,89,627.203294
-11.5,97,627.510473
-22.6,69,627.909406
22.1,56,657.637884
30.1,76,657.812418
35.1,88,658.044796
21.7,55,658.123586
17.7,45,658.229302
-26.7,59,658.406828
-22.4,69,658.575377
27.4,69,658.841666
-89.8,151,691.012611
-23.6,66,691.282888
-28.8,53,691.572114
-23.0,68,691.757618
40.9,103,692.102696
-8.9,103,721.823196
-65.6,86,721.960827
-123.7,66,722.078513
-1.0,123,722.354774
10.8,27,722.478442
6.5,142,722.707829
-21.7,71,759.461517
22.0,55,759.69589
4.5,137,759.990103
23.1,58,760.070887
15.2,38,760.129729
-28.5,54,760.358119
-18.1,80,760.594487
52.2,131,799.891372
5.6,139,800.134721
31.0,203,800.768026
13.6,34,800.954528
5.2,138,834.68929
27.3,69,834.963557
20.8,52,835.176987
-17.1,83,835.375454
-15.6,86,835.785359
-11.5,97,836.039679
11.6,29,866.627857
-0.5,124,866.982908
-20.3,75,867.193346
-20.7,74,867.384833
-27.4,57,867.529445
-9.9,101,867.937355
28.7,72,899.708371
-12.4,94,899.880909
14.9,38,899.967679
34.0,85,900.227982
-8.2,105,900.679772
29.4,199,933.532894
-12.4,94,933.998649
-66.6,84,934.361677
-12.5,94,935.032882
12.8,32,935.096711
-21.1,73,935.350033
-21.2,72,935.966385
16.2,41,969.606401
-20.8,73,969.782928
-26.0,60,969.879669
-13.5,92,970.076144
-21.0,73,970.19383
-18.5,79,970.400277
-9.8,101,1002.193235
16.1,166,1002.68891
-12.2,95,1002.980129
-30.5,49,1003.087841
-4.5,114,1003.338171
5.8,140,1037.429979
16.7,42,1037.521733
-0.9,123,1037.813952
-21.0,73,1037.91568
25.1,63,1038.094203
-25.1,63,1038.545994
12.2,31,1038.669663
-22.1,70,1071.141804
-21.9,71,1071.362215
26.3,66,1071.587611
-10.6,99,1071.728235
-19.6,76,1071.92072
-22.9,68,1072.19
-26.1,60,1072.326634
-19.7,76,1118.254781
-16.9,83,1118.445271
-0.9,123,1118.76043
24.8,62,1118.864152
1.8,130,1119.104509
-5.0,113,1150.395808
-23.0,68,1150.563359
14.5,37,1150.684036
20.9,53,1150.859566
22.7,57,1150.954313
-14.5,214,1185.468991
40.8,102,1185.66347
18.7,47,1185.797112
-15.6,86,1186.00356
-22.4,69,1186.177097
3.8,135,1186.704685
27.1,68,1214.014634
-0.5,124,1214.375668
-31.1,48,1214.528259
-17.6,81,1214.67786
-22.4,69,1214.851395
32.2,81,1215.277255
-5.9,111,1249.047923
-11.3,97,1249.25437
-17.2,82,1249.41494
-21.3,72,1249.597453
-28.7,54,1249.782957
-9.0,103,1250.276636
-22.4,69,1280.416017
-22.3,70,1280.640416
-25.8,61,1280.793008
16.7,42,1281.041344
-20.0,75,1281.320597
-22.7,69,1281.627776
