#{"t_start": 1752405772.9616086, "env_id": "VizdoomTakeCover-v0"}
r,l,t
14.5,162,6.655195
29.4,74,7.439098
16.0,40,7.665493
-24.0,65,8.191087
-16.8,83,8.806441
-21.8,71,9.461688
10.7,27,35.584801
-67.4,82,36.652944
12.2,31,36.868367
-9.9,101,37.575475
-21.1,73,38.139966
-5.9,111,39.257975
-22.5,69,39.948128
26.9,68,67.544301
-21.2,72,68.183591
-25.2,62,68.99542
36.7,92,69.569883
13.4,34,69.781317
-4.4,114,70.708836
-28.4,54,70.994073
22.9,58,93.596606
-14.4,89,94.248861
5.3,139,95.48256
-22.4,69,95.906426
-12.2,95,96.623508
-20.1,75,123.337042
-7.6,106,137.356537
-10.6,99,138.320957
-1.3,122,139.206587
13.9,35,139.635441
14.1,36,139.916687
13.5,34,140.088229
-22.4,69,164.809094
-36.6,159,165.912143
-17.1,83,166.739929
27.4,69,167.059075
16.4,41,167.243582
-21.3,72,167.668445
15.4,39,168.106274
-28.5,54,187.494406
15.7,40,187.696865
20.7,52,188.031968
-19.3,77,188.676244
-16.6,84,189.179896
15.6,39,189.422248
-24.7,64,189.70948
-2.1,120,210.330314
-15.6,86,211.003513
-16.6,84,211.701645
0.9,128,212.662076
-15.3,87,213.025105
17.3,44,213.25848
-8.9,103,228.280293
27.5,69,240.830718
-35.2,37,240.987299
-19.7,76,241.31941
-0.9,123,242.02951
17.5,44,242.500251
-21.4,72,242.787483
-21.4,72,267.718785
-57.0,108,268.507675
24.3,61,268.948495
-17.4,82,269.561855
-21.9,71,269.969763
-33.0,43,270.204137
-22.9,68,270.50932
-28.7,54,300.253747
-9.8,101,301.29895
-18.2,80,302.269354
-20.8,73,302.953523
31.1,78,303.940883
16.7,167,345.828822
-17.3,82,346.627685
-2.3,120,347.954136
-34.1,40,348.3411
-12.7,94,349.939824
11.8,30,350.317812
41.0,103,351.773917
33.5,84,388.295215
10.4,26,389.126989
-15.7,86,400.889521
22.3,56,401.181738
-17.4,82,401.778143
-15.4,87,402.337646
-4.7,114,421.295928
-20.2,75,422.255362
14.1,36,422.510678
33.2,83,423.739392
13.3,34,424.185198
-21.8,71,425.142637
-62.4,94,426.713435
26.6,67,427.402591
-22.9,68,450.261439
12.7,32,450.559641
-25.5,62,451.072269
-3.7,116,452.01774
28.9,73,452.547322
18.3,46,453.111813
-11.2,97,453.875769
47.5,119,473.998935
-25.1,63,474.414821
-11.6,96,475.500916
-22.1,70,476.111283
-27.8,56,476.682754
32.5,82,477.85462
37.4,94,505.119679
-22.5,69,505.49667
18.7,47,505.814818
-21.8,71,512.528857
7.1,143,513.968007
1.4,129,530.808953
-28.1,55,531.2398
3.3,134,532.486466
-22.0,70,533.056939
15.5,39,533.341179
-12.5,94,533.903675
-17.1,83,534.580863
-21.1,73,563.486532
28.5,72,564.30634
5.9,140,565.145096
-21.2,72,565.4802
-20.9,73,566.016763
-25.5,62,566.741824
-21.3,72,582.465758
-21.6,71,583.086098
-17.4,82,584.197127
5.5,139,585.627301
-0.8,123,587.454412
-16.3,85,610.138726
-16.8,83,610.784998
-23.6,66,611.335525
-24.4,64,619.991369
-62.4,94,620.903927
-21.9,71,621.485371
21.2,53,621.877323
14.6,37,652.440558
12.3,31,652.937231
37.1,93,654.735419
-12.5,94,655.34479
-0.2,125,656.382015
-22.9,68,657.04524
22.5,57,657.428215
-23.0,68,679.812332
-15.2,87,680.676022
-27.1,58,681.119835
-20.1,75,681.643434
-4.5,114,682.400409
-71.1,73,682.821283
-16.2,85,710.914128
-21.4,72,711.998226
-23.2,67,712.908791
-0.2,125,713.867228
-15.3,87,714.59528
-112.7,94,715.767143
-25.0,63,743.136923
-19.8,76,744.036517
9.1,23,744.154202
-20.9,73,744.694756
-28.1,55,745.403858
16.6,42,754.63217
-16.8,83,755.074986
41.3,104,779.532556
-20.2,75,779.960411
14.2,36,780.23368
26.5,67,780.72337
-22.1,70,781.247966
-22.2,70,781.83739
-23.6,66,782.210392
23.9,60,782.58539
-17.1,83,807.027001
-12.5,94,807.695214
19.0,48,808.184904
22.9,58,808.76934
4.3,136,809.846459
-21.7,71,810.269328
-16.5,84,832.789082
14.1,36,833.778434
-2.4,119,836.171034
16.3,41,836.881134
9.5,24,837.297021
-20.9,73,837.993159
-23.0,68,838.841888
-28.3,55,839.461232
-21.4,72,865.735941
-21.2,72,866.419112
3.7,135,867.964977
-9.9,101,869.207652
-9.0,228,910.351836
17.9,45,910.909345
-55.4,112,912.23779
-24.3,65,912.998754
-19.0,78,913.566236
-19.5,77,914.444885
-22.9,68,915.401327
-24.8,63,951.746147
-16.4,84,952.749463
-17.2,82,953.512422
-12.5,94,954.455897
-21.3,72,955.104163
3.5,134,978.11261
-16.7,84,978.83368
-16.8,83,979.935732
1.4,129,981.572354
-12.3,95,982.350273
-1.4,122,1007.96076
-20.3,75,1008.656897
-21.3,72,1009.426836
5.9,140,1010.751292
-21.5,72,1015.24926
39.6,99,1016.171791
-12.7,94,1042.237061
22.8,57,1042.796564
-20.2,75,1043.202478
29.4,74,1044.366364
-23.0,68,1044.986705
-28.3,55,1045.576129
-18.4,79,1046.356041
-28.2,55,1066.715574
-22.7,69,1067.235185
-23.1,68,1068.129791
-8.8,103,1069.199929
-28.1,55,1069.985826
-37.0,33,1070.385756
-23.1,68,1071.372117
-38.5,154,1105.502809
-20.9,73,1105.932659
-27.3,57,1106.402403
-9.6,101,1106.90406
20.8,52,1107.42766
-20.9,73,1108.087893
-15.7,86,1135.501555
25.5,64,1135.951352
28.6,72,1137.149148
24.9,63,1137.836308
-15.3,87,1138.492553
14.6,37,1138.69202
-23.1,68,1144.65806
-17.2,82,1178.106576
-22.2,70,1178.773791
-17.1,83,1179.808024
-18.2,80,1180.424375
-4.5,114,1181.253158
19.6,49,1182.005147
-22.4,69,1182.467908
-17.3,82,1212.776824
29.4,74,1213.841975
-0.3,125,1215.949337
-52.2,120,1217.600919
7.6,144,1246.611309
-57.3,107,1248.046469
-22.4,69,1248.736624
0.1,126,1249.939405
40.5,102,1250.889862
-30.0,50,1251.591984
40.4,101,1282.968046
-11.4,97,1283.94543
-20.9,73,1284.321425
-24.4,64,1284.780198
10.3,26,1285.207056
12.3,31,1285.400538
14.1,36,1285.745615
12.4,31,1285.986969
-4.0,115,1318.234698
-4.5,114,1319.315806
-0.5,124,1320.56646
-16.5,84,1321.057148
-24.9,63,1321.673499
-97.0,133,1345.049961
-22.9,68,1345.491779
14.8,37,1346.006403
-17.2,82,1346.663645
-17.0,83,1347.555259
-22.9,68,1348.907641
11.3,29,1349.487091
-21.2,72,1372.943339
-8.2,105,1374.240868
-21.2,72,1375.119518
17.7,45,1375.491522
-21.0,73,1376.3223
-21.1,73,1377.024421
19.1,48,1377.266773
-23.0,68,1378.240169
-6.6,109,1404.167806
-28.1,55,1405.056429
26.7,67,1405.670786
-17.1,83,1406.833674
-16.5,84,1407.78114
-26.9,58,1408.391507
-20.4,74,1442.778513
-15.2,87,1444.70436
-21.0,73,1446.179414
-23.2,67,1446.629211
-0.3,125,1447.716303
-21.4,72,1448.315699
13.4,34,1448.735576
-23.3,67,1469.768308
-20.8,73,1470.556201
-22.3,70,1471.173549
-15.2,87,1471.886642
-16.6,84,1472.668549
29.9,75,1473.53922
19.7,50,1474.221395
-76.2,60,1501.209196
17.9,45,1501.393702
-0.3,125,1502.892693
28.1,71,1503.612765
21.7,55,1504.086498
-24.8,63,1504.544274
-23.0,68,1505.043937
-11.6,96,1527.310369
-20.8,73,1528.908094
5.2,138,1531.419376
14.1,36,1532.140446
20.2,51,1533.166702
-18.2,80,1534.733511
13.8,35,1534.929985
-4.3,115,1561.091995
15.7,40,1561.4261
32.3,81,1562.096308
20.3,51,1562.598963
-38.1,30,1562.736594
-23.0,68,1563.349954
25.8,65,1563.84463
-20.8,73,1584.693853
-15.2,87,1585.841783
-28.1,55,1586.090118
