#{"t_start": 1751118433.4550972, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
51.4,96,3.669185
73.8,112,3.88461
83.0,120,4.07111
51.4,96,4.21273
73.8,112,63.693626
118.6,144,63.990831
51.4,96,64.217225
101.4,136,64.498473
121.2,168,121.18584
51.4,96,122.621999
51.4,96,124.203767
94.6,144,126.594373
83.4,136,190.349834
118.6,144,192.496092
113.6,144,195.098133
96.2,128,197.36108
83.4,136,256.585659
85.0,120,258.489566
107.4,136,261.376843
51.4,96,263.04538
79.2,128,321.8062
113.6,144,324.374332
176.0,240,328.065458
85.0,120,390.63509
51.4,96,392.233815
85.0,120,394.484793
51.4,96,396.053597
98.2,168,456.278502
85.0,120,458.588322
61.0,120,460.521153
51.4,96,462.166751
73.8,112,534.660837
95.2,168,537.691729
85.0,120,539.993572
51.4,96,541.644157
85.0,120,610.984678
83.4,136,613.656531
107.4,136,616.156843
85.0,120,618.313075
62.0,120,676.905347
73.8,112,679.109451
61.0,120,680.910633
117.0,160,683.759013
51.4,96,740.627895
61.0,120,744.298078
118.6,144,746.763483
110.0,160,749.288728
73.8,112,811.912217
71.6,144,814.06047
118.6,144,816.437114
118.6,144,819.349324
78.0,120,872.72056
62.6,104,874.811967
94.6,144,877.351174
51.4,96,879.143381
107.4,136,936.026225
51.4,96,937.801476
85.0,120,939.809106
85.0,120,941.999247
51.4,96,1019.544821
73.8,112,1021.88556
104.2,168,1024.677093
82.6,144,1026.953004
102.6,144,1106.352619
73.8,112,1108.410115
80.0,120,1110.61023
85.0,120,1112.91307
85.0,120,1166.109774
85.0,120,1168.346791
51.4,96,1170.521973
88.8,152,1172.88964
85.0,120,1229.618898
51.4,96,1232.037425
83.6,144,1234.631486
65.0,120,1236.605206
51.4,96,1294.756657
61.0,120,1296.648596
76.6,144,1299.217725
73.8,112,1301.242309
73.8,112,1302.226675
51.4,96,1359.021755
51.4,96,1360.616489
107.4,136,1362.97518
107.4,136,1365.39371
51.4,96,1428.677432
133.8,192,1432.310714
106.6,144,1435.070333
80.0,120,1498.291223
71.0,120,1500.37465
51.4,96,1501.871646
51.4,96,1503.922161
105.6,144,1506.522205
73.8,112,1564.780371
80.6,144,1567.39039
51.4,96,1569.138713
85.0,120,1570.979788
85.0,120,1786.598031
72.6,144,1789.302796
96.2,128,1791.650516
72.2,128,1793.779821
85.0,120,1848.867467
111.6,144,1851.261065
62.6,104,1853.000411
61.0,120,1855.165621
112.6,184,1911.233644
185.8,192,1914.964664
136.2,208,1975.732117
51.4,96,1977.333832
94.6,144,1979.648641
85.0,120,1981.98539
61.0,120,2047.15407
81.8,152,2049.987491
96.2,128,2052.203564
91.4,176,2055.172621
107.4,136,2111.072097
51.4,96,2114.673463
61.0,120,2118.675757
85.0,120,2122.553387
51.4,96,2177.811575
83.4,136,2179.960826
141.0,160,2182.516988
92.6,144,2184.963444
51.4,96,2240.124893
51.4,96,2241.635851
73.8,112,2243.679385
51.4,96,2245.252177
118.8,152,2304.96246
61.0,120,2307.339102
85.0,120,2309.462422
73.8,112,2313.507602
85.0,120,2318.232962
51.4,96,2378.118773
108.0,160,2380.663965
73.8,112,2382.276651
85.0,120,2384.653294
70.6,144,2441.25888
115.8,152,2443.508862
72.2,128,2445.463632
73.8,112,2500.911315
51.4,96,2502.897005
51.4,96,2504.42392
85.0,120,2506.666919
194.0,200,2570.843255
51.4,96,2572.476885
83.4,136,2575.219549
73.8,112,2577.327909
70.6,144,2681.785496
116.2,168,2684.944048
121.8,152,2687.66078
61.0,120,2689.640484
107.4,136,2790.926554
117.6,144,2793.329128
118.6,144,2796.260288
74.0,120,2852.315345
118.6,144,2856.728542
51.4,96,2859.137098
85.0,120,2862.290663
73.8,112,2864.916639
85.0,120,2923.752259
51.4,96,2925.275185
51.4,96,2927.025503
51.4,96,2928.552419
112.4,176,3036.184514
62.6,104,3037.964752
87.6,144,3040.230691
51.4,96,3041.98101
61.0,120,3100.844556
107.4,136,3103.455571
73.8,112,3105.24279
126.6,184,3108.868093
73.8,112,3174.200336
85.0,120,3176.123193
51.4,96,3177.622183
51.4,96,3179.326624
75.6,144,3236.583467
73.8,112,3238.706789
83.4,136,3241.298854
62.6,104,3243.238665
51.4,96,3245.431799
128.8,152,3307.214537
73.8,112,3309.920299
51.4,96,3312.428589
51.4,96,3314.036289
73.8,112,3382.289718
133.0,200,3385.793346
83.4,136,3388.088209
129.0,160,3450.113297
72.2,128,3452.553769
126.6,184,3455.889845
51.4,96,3457.4766
73.8,112,3523.478054
118.6,144,3526.116994
134.2,168,3529.23665
96.2,128,3531.553453
104.6,144,3592.340853
102.6,144,3594.777335
51.4,96,3596.314224
85.0,120,3598.663939
51.4,96,3664.254491
73.8,112,3666.382798
80.0,120,3668.826261
51.4,96,3670.42698
118.6,144,3742.445338
51.4,96,3745.14412
51.4,96,3747.261455
85.0,120,3749.426664
51.4,96,3751.186955
94.6,144,3809.51294
80.2,168,3812.272559
51.4,96,3814.123607
85.0,120,3873.674314
95.2,128,3875.979148
166.6,224,3879.926591
82.0,120,3882.025974
131.0,160,3943.646146
83.4,136,3946.133493
51.4,96,3948.728552
61.0,120,3951.935973
107.4,136,4014.395898
51.4,96,4016.332716
61.0,120,4018.310426
72.2,128,4020.696046
51.4,96,4089.750333
62.6,104,4091.565477
51.4,96,4093.437471
83.4,136,4095.765243
62.6,104,4160.240778
85.0,120,4162.324205
73.8,112,4164.377711
81.8,152,4166.739397
94.6,144,4244.564222
62.6,104,4246.645654
83.4,136,4249.194834
51.4,96,4250.624012
61.0,120,4252.573796
51.4,96,4311.731555
69.0,120,4313.752151
105.4,136,4316.444947
85.0,120,4318.404705
85.0,120,4394.052355
96.2,128,4396.228534
117.6,144,4399.427977
133.0,160,4461.609647
94.6,144,4464.239612
70.0,120,4466.591322
130.8,192,4470.204656
73.8,112,4529.043269
73.8,112,4530.891325
128.8,152,4533.591104
96.2,128,4535.903917
88.6,144,4601.108502
107.4,136,4603.354493
85.0,120,4605.51272
100.6,144,4670.241577
73.8,112,4672.470615
51.4,96,4674.170069
61.0,120,4676.258482
104.2,168,4745.420482
100.6,144,4748.117268
70.6,144,4750.848961
51.4,96,4752.142501
51.4,96,4754.055384
72.2,128,4968.705217
99.6,144,4971.185582
80.2,168,4974.23343
85.0,120,5074.147171
61.0,120,5076.151808
73.8,112,5078.380846
61.0,120,5080.448316
107.4,136,5139.37968
85.0,120,5141.706456
93.0,160,5144.532897
101.2,168,5147.073102
93.0,160,5210.206227
85.0,120,5212.646698
51.4,96,5214.356127
72.6,144,5292.074238
51.4,96,5294.236454
94.6,144,5296.649002
61.0,120,5298.670594
61.0,120,5300.92955
105.8,152,5371.618465
114.6,144,5377.482779
61.0,120,5381.818182
96.2,128,5451.100857
108.0,160,5455.269707
73.8,112,5457.907651
85.0,120,5461.134021
62.6,104,5519.257547
51.4,96,5521.19237
51.4,96,5522.90479
107.4,136,5525.158761
51.4,96,5527.005821
73.8,112,5748.485385
107.4,136,5750.768279
118.6,144,5753.126969
85.0,120,5755.118641
112.8,152,5841.900508
94.6,144,5844.108602
62.6,104,5845.859917
51.4,96,5847.630182
93.2,128,5910.07814
111.4,176,5913.288553
121.2,168,5916.38527
118.6,144,5975.306661
104.2,168,5978.200919
51.4,96,5979.987141
61.0,120,5982.108466
73.8,112,6049.566024
99.4,136,6051.832961
51.4,96,6053.302032
51.4,96,6054.812989
51.4,96,6056.705925
51.4,96,6125.700373
93.2,128,6128.670429
120.8,192,6133.265138
73.8,112,6195.107715
85.0,120,6197.796523
73.8,112,6200.832403
76.0,120,6203.99594
112.6,144,6264.87709
73.8,112,6268.771672
73.8,112,6272.476762
93.0,160,6277.020606
51.4,96,6278.799847
80.2,168,6338.347563
73.8,112,6340.415032
115.6,144,6342.820598
73.8,112,6413.6641
62.6,104,6415.420401
99.4,136,6417.703295
73.8,112,6419.309
128.2,168,6480.722724
73.8,112,6482.79518
75.0,120,6485.011253
107.4,136,6487.967345
83.4,136,6803.011634
73.8,112,6804.880634
96.2,128,6806.79651
81.8,152,6809.567099
117.6,144,6873.219834
148.0,240,6877.276982
112.2,208,6945.91538
51.4,96,6947.644755
51.4,96,6949.250459
62.6,104,6950.941937
85.0,120,6952.828889
51.4,96,7011.558792
85.0,120,7013.525531
62.6,104,7015.494265
122.6,184,7018.356607
115.4,176,7079.325522
110.0,160,7081.854757
70.6,144,7084.426877
62.6,104,7153.988805
141.0,160,7156.820231
85.0,120,7159.073205
73.8,112,7161.165609
73.8,112,7225.680038
107.4,136,7228.116521
61.0,120,7230.150083
51.4,96,7231.652065
96.2,128,7300.754222
70.6,144,7303.529799
61.0,120,7305.601258
85.0,120,7307.732556
62.6,104,7552.290389
85.0,120,7554.221225
83.4,136,7556.825259
96.2,128,7559.184947
61.0,120,7618.156206
96.2,128,7620.312437
107.4,136,7622.797789
51.4,96,7624.41247
51.4,96,7625.859598
51.4,96,7698.240986
142.0,200,7702.021872
77.0,120,7704.291801
96.2,128,7777.435149
61.0,120,7779.578416
65.0,120,7781.771551
51.4,96,7783.430113
92.4,136,7785.455695
97.4,136,7845.643699
51.4,96,7847.229457
152.4,176,7850.205496
86.8,152,7917.431673
141.0,160,7920.336901
83.4,136,7922.872121
61.0,120,7925.202887
96.2,128,7987.95902
118.6,144,7990.559066
73.8,112,7992.425074
118.6,144,7994.888484
98.6,144,8063.508932
73.8,112,8065.444753
61.0,120,8067.753577
73.8,112,8070.305751
85.0,120,8138.358717
127.8,152,8141.023588
112.2,168,8143.87496
93.2,168,8205.399389
51.4,96,8207.576564
61.0,120,8211.202865
91.8,152,8214.789272
51.4,96,8274.430737
96.2,128,8277.258174
96.2,128,8279.512144
51.4,96,8281.389124
73.8,112,8350.680776
73.8,112,8352.760213
73.8,112,8354.673097
73.8,112,8356.701671
118.6,144,8422.142623
51.4,96,8423.828114
96.2,128,8426.39026
85.0,120,8428.949415
51.4,96,8430.709707
73.8,112,8500.151956
51.4,96,8501.76165
139.0,160,8504.638953
116.6,144,8506.910877
51.4,96,8568.961896
114.6,144,8571.65569
157.8,192,8576.195547
85.0,120,8639.825343
62.6,104,8641.86389
83.4,136,8644.054032
70.6,144,8646.637123
61.0,120,8709.478029
51.4,96,8711.124625
51.4,96,8712.912842
73.8,112,8714.497603
61.0,120,8716.783489
105.8,192,8791.258276
72.2,128,8793.756593
61.0,120,8795.67945
105.8,152,8855.865458
153.8,192,8859.377065
62.6,104,8861.306902
85.0,120,8863.246714
132.0,160,8928.192989
94.6,144,8931.591897
93.0,160,8934.305639
62.6,104,9011.200952
61.0,120,9013.582581
73.8,112,9015.449588
73.8,112,9017.240795
85.0,120,9019.005076
51.4,96,9079.209036
83.0,120,9081.302437
51.4,96,9082.928089
51.4,96,9084.595628
94.6,144,9152.199794
80.0,120,9154.288208
85.0,120,9156.374626
74.6,144,9159.106319
94.6,144,9220.53999
73.8,112,9222.619428
92.6,144,9224.90332
85.0,120,9227.03761
103.6,144,9288.687703
73.8,112,9290.519801
107.4,136,9293.176695
61.0,120,9295.184325
85.0,120,9355.456104
51.4,96,9358.404219
61.0,120,9361.396215
98.4,136,9365.188072
195.6,224,9433.781591
129.8,152,9439.149233
73.8,112,9442.947075
100.4,136,9504.163327
149.2,168,9507.417623
61.0,120,9509.589812
103.4,176,9566.802773
117.8,152,9569.568375
96.2,128,9571.867225
70.6,144,9574.638812
73.8,112,9633.926224
73.8,112,9636.096419
51.4,96,9637.807842
85.0,120,9639.921188
51.4,96,9641.61466
209.0,320,9704.36082
82.0,120,9706.761397
72.2,128,9771.17809
140.2,168,9776.290414
94.6,144,9778.828625
85.0,120,9780.854207
95.6,144,9849.25225
51.4,96,9851.257884
51.4,96,9853.631535
86.6,144,9857.479244
85.0,120,9916.878356
61.0,120,9919.384652
108.6,144,9921.307508
94.6,144,9923.763938
73.8,112,10052.177445
117.0,160,10055.179415
94.6,144,10057.583982
74.0,120,10129.209392
73.8,112,10131.110307
51.4,96,10132.777848
61.0,120,10134.757551
91.6,144,10137.176082
83.4,136,10212.102661
107.4,136,10214.369597
