#{"t_start": 1751118381.6646318, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
51.4,96,3.856683
73.8,112,4.786197
51.4,96,5.278878
61.0,120,5.787518
51.4,96,32.810235
107.4,136,33.45551
104.6,144,34.982424
85.0,120,36.716785
51.4,96,93.286468
65.0,120,94.420434
85.0,120,95.948347
85.0,120,97.677721
97.6,144,161.079129
135.2,168,162.859367
73.8,112,164.378304
93.0,160,166.393912
73.8,112,241.735381
51.4,96,243.723065
94.6,144,246.933477
73.8,112,249.500611
73.8,112,312.246771
61.0,120,314.746086
85.0,120,316.677918
61.0,120,318.183889
88.6,144,383.783418
51.4,96,385.325294
51.4,96,386.361522
88.4,136,387.796682
107.4,136,453.619613
134.8,192,456.172783
85.0,120,458.026825
95.6,144,460.102272
102.6,184,537.952033
51.4,96,539.109935
69.0,120,540.869229
73.8,112,542.62553
51.4,96,605.872352
51.4,96,607.154922
80.6,144,608.844403
51.4,96,610.153899
73.8,112,683.896646
51.4,96,685.035599
94.6,144,687.058188
61.0,120,688.868347
107.4,136,753.748798
51.4,96,754.903709
85.0,120,756.507419
51.4,96,757.528687
99.0,160,759.813575
136.0,160,828.65543
230.4,376,909.738541
73.8,112,911.538726
107.4,136,913.603203
61.0,120,915.357511
51.4,96,916.637088
70.0,120,983.396513
73.8,112,984.684069
118.6,144,987.193357
73.8,112,989.695664
105.0,160,1056.239666
85.0,120,1057.493312
62.6,104,1058.912516
62.6,104,1060.584045
73.8,112,1126.078853
129.2,168,1142.570738
121.0,160,1144.755893
85.0,120,1216.178844
96.2,128,1218.863664
61.0,120,1221.658188
62.6,104,1224.127583
51.4,96,1225.90084
51.4,96,1291.171247
168.2,248,1294.714768
73.8,112,1296.486031
51.4,96,1361.546999
51.4,96,1363.058955
118.6,184,1365.301955
123.4,216,1435.280769
104.2,168,1437.616521
85.0,120,1453.380355
61.0,120,1455.0459
85.4,136,1519.677018
61.0,120,1521.144094
93.0,160,1523.337226
71.0,120,1524.934954
103.8,192,1593.997219
73.8,112,1595.470278
70.6,144,1597.396127
51.4,96,1660.871337
61.0,120,1662.504968
51.4,96,1664.112666
113.8,192,1666.838376
161.2,248,1730.029347
171.4,296,1749.796471
51.4,96,1820.719759
85.0,120,1822.588759
61.0,120,1824.400912
51.4,96,1825.539865
69.0,120,1892.645365
96.2,128,1894.151337
51.4,96,1895.325197
128.8,152,1897.561216
61.0,120,1964.830277
85.0,120,1967.535043
61.0,120,1969.899717
61.0,120,1971.546313
51.4,96,1973.122099
93.0,160,2044.617855
51.4,96,2046.015117
51.4,96,2047.220891
51.4,96,2063.289908
78.0,120,2130.294677
79.6,144,2132.597517
51.4,96,2134.051627
51.4,96,2135.35913
94.6,144,2207.37649
83.4,136,2209.267433
124.6,224,2212.086893
51.4,96,2213.349514
73.8,112,2279.183414
51.4,96,2280.406144
51.4,96,2282.028804
83.4,136,2283.705319
73.8,112,2354.461056
51.4,96,2355.910179
51.4,96,2357.409169
61.0,120,2360.133881
73.8,112,2378.257402
51.4,96,2446.547732
51.4,96,2448.173384
97.4,136,2449.971575
51.4,96,2451.471562
51.4,96,2452.645422
61.0,120,2520.994595
61.0,120,2522.721974
70.6,144,2524.42442
85.0,120,2526.17374
51.4,96,2603.767186
85.6,144,2605.668102
51.4,96,2607.315695
108.0,160,2609.071997
61.0,120,2677.931804
182.2,208,2680.749267
61.0,120,2682.520529
88.4,136,2764.22398
51.4,96,2765.34199
61.0,120,2767.115247
139.2,208,2769.760172
116.6,144,2840.855001
96.6,144,2843.420139
51.4,96,2845.337012
103.6,144,2848.460656
96.2,128,2923.948733
85.0,120,2925.810753
85.0,120,2927.384543
51.4,96,2928.611261
80.2,168,3005.064756
85.0,120,3006.926775
51.4,96,3008.103627
51.4,96,3009.521834
61.0,120,3104.342199
51.4,96,3105.621776
96.2,128,3107.452879
97.6,144,3109.089501
75.0,120,3181.29436
51.4,96,3182.719547
61.0,120,3184.121798
118.6,144,3186.129427
78.0,120,3260.912389
80.2,168,3262.953928
96.2,128,3264.823927
51.4,96,3266.34785
61.0,120,3337.888486
51.4,96,3339.39745
96.2,128,3341.25548
73.8,112,3343.201275
85.0,120,3344.9496
51.4,96,3432.262047
51.4,96,3433.83085
90.6,144,3436.99738
51.4,96,3438.800556
51.4,96,3508.295665
97.4,136,3511.779345
51.4,96,3513.578533
51.4,96,3516.078846
51.4,96,3518.271979
80.2,168,3592.23314
149.4,176,3594.219826
76.0,120,3596.159638
61.0,120,3670.252446
51.4,96,3671.607821
84.0,120,3673.288326
51.4,96,3674.712516
94.6,144,3676.814893
51.4,96,3764.720754
138.2,168,3767.544201
51.4,96,3768.63628
98.6,144,3771.06977
51.4,96,3844.729737
51.4,96,3846.105059
51.4,96,3847.443479
51.4,96,3848.566474
76.6,144,3922.173584
61.0,120,3923.795245
51.4,96,3925.187521
61.0,120,3927.705785
51.4,96,3929.856033
51.4,96,4005.834798
87.6,144,4009.046208
94.2,168,4011.076776
51.4,96,4012.19678
51.4,96,4083.645661
51.4,96,4099.89719
101.4,136,4101.985604
85.0,120,4103.543437
70.0,120,4176.844364
51.4,96,4178.340363
104.2,168,4180.571395
94.4,136,4182.20702
85.0,120,4257.663183
96.2,128,4259.407516
61.0,120,4261.166811
73.8,112,4262.739603
61.0,120,4336.000638
70.6,144,4338.421163
51.4,96,4339.857321
100.6,144,4341.801122
51.4,96,4413.1393
61.0,120,4416.112346
61.0,120,4441.512404
65.0,120,4443.117112
51.4,96,4444.308924
61.0,120,4521.776706
61.0,120,4523.801291
94.6,144,4525.596488
78.0,120,4527.043617
51.4,96,4596.617514
83.4,136,4599.57959
73.8,112,4601.967204
51.4,96,4604.135404
61.0,120,4678.507467
61.0,120,4680.250803
85.0,120,4682.048994
61.0,120,4683.759418
99.6,144,4754.584967
61.0,120,4756.657423
61.0,120,4773.36573
51.4,96,4774.775958
61.0,120,4776.627007
84.0,120,4847.491452
95.4,136,4849.690568
51.4,96,4851.06589
61.0,120,4852.83815
51.4,96,4922.812974
61.0,120,4924.162364
