#{"t_start": 1752660785.4224875, "env_id": "VizdoomTakeCover-v0"}
r,l,t
4.8,137,8.231195
-22.3,70,8.405728
-1.6,121,8.641098
-22.5,69,8.7149
-1.4,122,38.215509
-22.8,68,38.292303
-9.0,103,38.401012
-11.6,96,38.50274
-21.1,73,38.777007
-28.7,54,38.866766
-18.4,79,38.955529
-25.9,61,57.980627
-20.6,74,58.128232
13.5,34,58.19605
-20.9,73,58.312738
-23.3,67,58.384546
19.9,50,58.49525
-10.9,98,58.726631
-20.9,73,91.829129
10.4,26,91.897945
-17.2,82,92.088434
-26.5,59,92.354722
-13.3,92,92.805681
-21.3,72,92.958108
-37.0,158,117.168333
-20.9,73,117.364807
-17.2,82,117.606162
-22.3,70,117.753767
-26.2,60,117.869457
21.5,54,117.935281
10.6,27,117.97318
-0.4,124,137.731316
38.0,95,137.892884
10.3,26,137.940756
-15.7,86,138.07739
-5.0,113,138.416483
16.4,41,138.546136
-3.8,116,138.703715
-18.3,80,159.22481
17.2,43,159.437243
-16.5,84,159.731455
-25.6,61,160.218153
-22.1,70,160.373735
-25.8,61,160.515357
-22.2,70,160.651991
2.4,131,175.305785
-28.5,54,175.38258
-21.5,72,175.57307
-8.8,103,175.703721
-8.9,103,175.895208
-23.1,68,175.994941
-4.2,115,201.346113
-25.6,61,201.482747
-17.1,83,201.651297
19.7,50,201.808875
-21.4,72,201.979418
-25.9,61,202.156944
17.9,45,202.222767
-4.0,115,219.640167
11.5,154,219.88551
22.0,55,219.96031
-17.8,81,220.175734
5.1,138,236.672596
-94.9,138,236.895001
-23.3,67,237.042606
-18.2,80,237.132366
12.1,31,237.221129
30.2,76,237.316873
-10.9,98,237.451512
16.9,43,257.104928
-31.5,47,257.175739
15.5,164,257.373211
37.8,95,257.591627
33.3,84,257.714299
-9.2,102,284.81479
12.6,32,284.858673
46.5,117,285.007276
18.3,46,285.067116
10.7,27,285.112993
-1.6,121,285.249627
20.4,51,285.369307
-22.9,68,285.465051
-0.1,125,305.736814
11.6,29,305.873447
4.7,137,306.042994
30.2,201,306.275372
-28.1,55,321.94046
-16.6,84,322.062134
-25.8,61,322.197772
28.2,196,322.485002
-14.2,90,322.604683
-28.5,54,344.168987
-20.4,74,344.341526
-9.6,101,344.468187
-47.4,132,344.655684
-17.6,81,344.775364
7.8,145,361.2822
-21.5,72,361.376946
49.2,123,361.527543
-13.4,92,361.650215
-7.0,108,361.893564
-21.2,72,382.241124
17.0,43,382.303956
16.3,41,382.420643
11.1,28,382.458542
-22.4,69,382.603156
35.6,89,382.70588
28.4,71,382.812594
13.5,159,399.515904
15.2,38,399.617632
10.7,27,399.653536
17.3,44,399.735317
-28.2,55,399.882922
12.2,31,399.924811
12.0,30,399.965702
-16.8,83,400.156191
-17.3,82,400.319753
-2.5,119,420.989451
30.5,77,421.153013
-23.5,67,421.227814
13.5,159,421.477146
4.7,137,421.636719
27.0,193,440.093338
-60.1,100,440.249919
10.9,28,440.486287
-8.6,104,440.631898
-8.6,104,468.137306
-22.2,70,468.420548
22.8,57,468.700799
-6.7,109,469.113693
-21.4,72,469.482706
0.7,127,470.330439
-26.3,60,470.575783
-22.4,69,490.338905
-22.1,70,490.503464
23.7,60,490.620152
-16.0,85,490.825603
-9.6,101,491.023074
-16.5,84,491.149735
17.6,169,511.450421
-25.7,61,511.603012
-19.7,76,511.703742
20.4,51,511.79051
-34.4,39,511.867305
-63.7,91,511.981
-28.5,54,529.953913
10.0,25,529.993807
18.4,46,530.076587
-27.5,57,530.239151
-15.1,88,530.346863
-17.6,81,530.566275
-21.2,72,530.662019
11.9,30,530.719865
-22.3,70,530.803641
-28.6,54,554.387542
10.7,27,554.424443
-4.0,115,554.599972
11.2,28,554.643855
-17.9,81,554.745583
-21.4,72,554.888201
-20.8,73,554.986937
16.9,43,555.042788
