#{"t_start": 1752660851.000786, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-69.2,77,1294.480647
11.0,28,1294.61429
-18.7,79,1295.417141
23.0,58,1295.814079
31.5,79,1296.357624
-21.8,71,1296.94605
-21.4,72,1317.12905
-12.5,94,1317.754376
18.1,46,1318.257032
-21.4,72,1319.06886
-65.0,88,1319.86872
-10.0,100,1320.992712
-30.4,49,1346.365826
23.4,59,1346.759772
-28.2,55,1347.112828
24.7,62,1347.846864
-28.5,54,1348.390409
-16.8,83,1349.12245
23.3,59,1349.559282
-15.2,87,1350.411003
-21.4,72,1373.359604
-15.3,87,1374.017843
10.1,26,1374.399821
-73.3,67,1375.136848
1.3,129,1376.763497
-15.3,87,1378.412086
-26.7,59,1379.62484
-0.2,125,1415.46096
-14.6,89,1415.946661
-25.5,62,1416.394462
-15.4,87,1417.247181
22.5,57,1417.822642
-23.0,68,1418.507808
-21.3,72,1443.150875
-27.5,57,1443.776202
-22.9,68,1444.416489
-16.5,84,1445.149528
-21.3,72,1445.73197
-21.7,71,1446.321392
-21.2,72,1446.92378
-21.2,72,1479.973356
26.0,65,1481.631918
18.1,46,1482.710033
42.9,108,1483.585691
-20.8,73,1484.111285
9.7,25,1484.454367
21.9,55,1485.008883
-8.9,103,1506.84845
-16.5,84,1507.590465
-20.3,75,1508.431215
-16.4,84,1509.103417
23.3,59,1509.574158
23.6,59,1510.05188
-23.0,68,1510.670225
-25.1,63,1536.365476
-6.4,109,1539.567909
-16.5,84,1540.312915
-8.4,104,1541.223479
-21.4,72,1542.069216
-23.4,67,1542.517018
-19.3,77,1566.633494
-13.2,92,1567.692661
-17.0,83,1568.42171
-28.6,54,1569.029084
-21.9,71,1569.476886
18.6,47,1569.909728
-19.8,76,1570.447289
-20.1,75,1591.656543
-24.2,65,1592.381604
-21.5,72,1593.158525
-9.8,101,1594.262571
-50.6,124,1596.904503
18.7,47,1597.576705
17.1,43,1598.371578
11.5,154,1620.814531
-18.7,204,1622.965775
-10.0,100,1623.844425
-27.0,58,1624.459778
9.7,25,1647.123142
11.9,30,1647.499136
-12.3,95,1652.516711
-28.1,55,1653.226812
-20.3,75,1654.112442
18.8,47,1654.377732
-23.8,66,1654.900333
-15.2,87,1655.853782
-16.6,84,1691.509385
-52.9,118,1693.906971
-25.1,63,1694.966136
23.9,60,1696.040263
10.5,27,1696.516987
22.8,57,1697.736724
-17.0,83,1699.104065
10.5,27,1699.230726
29.5,74,1730.66263
-20.8,73,1731.386692
-29.5,52,1731.883364
-21.2,72,1732.577506
-21.4,72,1733.506022
-25.1,63,1734.068517
-10.4,99,1734.866382
-12.4,94,1765.450553
-15.2,87,1766.452872
-24.8,63,1766.880728
-32.3,45,1767.482118
-24.8,63,1768.051594
-70.3,75,1768.532308
5.8,140,1795.090252
-21.1,73,1795.760459
-13.2,92,1802.980142
-22.0,70,1804.448214
21.9,55,1805.44754
39.8,100,1806.948525
-21.3,72,1833.632131
-25.2,62,1834.043032
86.8,217,1838.089207
13.5,34,1838.811275
-12.1,95,1840.538654
2.7,132,1870.033738
-29.9,51,1871.030072
-18.8,78,1872.314635
4.9,138,1873.377791
19.7,50,1873.858505
1.3,129,1900.132209
-25.8,61,1901.105605
29.1,198,1903.58896
-21.5,72,1904.445669
-28.6,54,1904.83363
-25.6,61,1905.240541
-34.4,39,1905.542733
-28.7,54,1939.976604
-12.6,94,1941.097605
-19.8,76,1941.967278
17.2,43,1946.642769
-37.4,32,1946.981861
29.7,75,1947.611178
-29.8,51,1947.947278
-29.2,52,1948.761101
28.9,73,1972.719999
-16.5,84,1973.464008
-28.6,54,1974.136209
-18.1,80,1975.403818
26.6,67,1975.878547
33.3,84,1976.405138
-20.9,73,1977.726602
-20.9,73,2006.217375
-17.7,81,2006.812783
-28.2,55,2007.763239
-21.5,72,2009.440751
-28.3,55,2010.426116
-18.1,80,2011.749573
27.6,69,2013.078019
41.4,104,2037.617363
-28.4,54,2038.368354
-21.4,72,2039.527254
-58.3,105,2041.742327
-10.1,100,2043.737988
-23.1,68,2045.119292
10.6,27,2072.514994
-51.8,121,2075.026274
-20.7,74,2075.537906
-0.8,123,2083.623274
25.9,65,2084.232643
24.2,61,2084.787159
-17.2,82,2115.424189
-0.5,124,2116.663873
-22.9,68,2117.309145
-7.9,106,2117.967385
19.7,50,2118.583736
5.7,140,2142.098821
13.1,33,2142.910648
-12.5,94,2145.893668
-25.2,62,2147.289932
29.7,75,2149.25667
34.4,86,2151.913561
-30.9,173,2183.673585
-81.1,48,2184.694854
-20.0,75,2186.079149
-59.9,101,2187.713776
-21.6,71,2189.179854
-3.4,117,2190.491344
-17.2,82,2217.573885
-16.9,83,2218.872411
-15.2,87,2219.402991
13.2,33,2219.794943
54.6,262,2234.662165
-26.3,60,2265.004982
-29.8,51,2265.475722
-26.3,60,2265.953444
-28.1,55,2266.631629
-0.3,125,2267.557153
-8.2,105,2268.736996
-17.1,83,2296.088816
-23.6,66,2296.683225
-28.7,54,2297.678562
-20.6,74,2298.628024
-25.1,63,2300.126015
29.3,74,2301.252002
-22.3,70,2302.77393
-27.7,56,2303.785224
-13.3,92,2330.255403
-25.6,61,2330.922617
-22.9,68,2331.399341
-11.5,97,2332.236103
-9.5,102,2333.305243
-24.1,65,2334.015342
26.1,66,2364.26441
-73.0,68,2364.958553
-22.0,70,2366.0626
9.4,24,2366.287996
-21.4,72,2366.866448
11.3,154,2381.672834
