#{"t_start": 1751109252.012009, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
62.6,104,4.694442
127.8,152,6.390904
107.4,136,8.266887
61.0,120,72.103131
105.8,152,74.600451
70.6,144,76.615062
73.8,112,78.944833
62.6,104,148.888737
61.0,120,151.46385
61.0,120,152.955859
61.0,120,155.134031
85.0,120,228.273392
96.6,144,230.283016
95.0,160,232.615776
80.0,120,234.591491
72.2,128,311.946574
80.0,120,313.440578
89.4,136,315.005392
135.0,160,316.955177
73.8,112,383.676703
102.6,144,387.159387
85.0,120,391.703233
61.0,120,394.583528
51.4,96,462.707305
61.0,120,464.416733
51.4,96,465.652427
96.2,128,467.26212
107.4,136,538.240261
61.0,120,539.497897
141.2,208,541.568359
51.4,96,543.110235
93.0,160,625.159761
85.0,120,626.743525
51.4,96,628.26645
89.6,144,629.97887
157.8,192,699.180762
136.2,208,701.563389
85.0,120,778.785826
73.8,112,780.242929
51.4,96,781.664128
111.8,192,784.632188
81.8,152,858.412832
94.6,144,860.0325
51.4,96,861.135549
93.6,144,863.187062
107.6,144,935.998299
61.0,120,952.31266
73.8,112,953.505469
83.4,136,955.336571
61.0,120,1018.145563
61.0,120,1019.667492
122.6,184,1022.514876
121.4,176,1094.856369
70.6,144,1096.903893
120.6,144,1098.717042
101.4,136,1100.526203
62.6,104,1163.325223
73.8,112,1164.823217
85.0,120,1167.414285
51.4,96,1169.684213
51.4,96,1231.666417
118.6,144,1234.687336
61.0,120,1258.258287
61.0,120,1261.881594
61.0,120,1327.904988
85.0,120,1329.387024
102.6,184,1331.53827
51.4,96,1332.84677
62.0,120,1395.623847
51.4,96,1396.841589
61.0,120,1398.240847
51.4,96,1400.159714
80.2,168,1474.198667
233.4,256,1477.812002
51.4,96,1478.885132
51.4,96,1480.08592
51.4,96,1541.815799
61.0,120,1543.274896
98.8,192,1559.871502
85.0,120,1561.056332
93.0,160,1625.245633
104.2,168,1627.789826
51.4,96,1629.144204
83.4,136,1698.675216
51.4,96,1700.0645
61.0,120,1701.475725
83.4,136,1703.04752
51.4,96,1704.523572
133.8,192,1768.481491
51.4,96,1771.028678
51.4,96,1772.708185
118.6,144,1829.745615
66.0,120,1831.272531
83.4,136,1833.898507
51.4,96,1852.898684
132.2,168,1915.033479
73.8,112,1916.642176
105.8,152,1918.603928
83.4,136,1920.658433
51.4,96,1981.95547
85.0,120,1983.470417
51.4,96,1984.750992
84.0,120,1986.432495
51.4,96,1987.835741
61.0,120,2053.309605
85.0,120,2055.000083
69.0,120,2056.419286
73.8,112,2058.201519
73.8,112,2122.000863
51.4,96,2123.304376
61.0,120,2124.704631
51.4,96,2139.596795
51.4,96,2140.717797
62.6,104,2205.164409
51.4,96,2207.944971
51.4,96,2210.561971
66.0,120,2214.127434
102.6,144,2280.3852
51.4,96,2281.942036
51.4,96,2283.434045
51.4,96,2284.91608
61.0,120,2286.644457
51.4,96,2352.422508
70.6,144,2353.92449
51.4,96,2355.320756
51.4,96,2356.452728
51.4,96,2357.480977
61.0,120,2427.511653
65.0,120,2428.834115
93.6,144,2430.493675
61.0,120,2443.375218
61.0,120,2506.50236
95.2,128,2508.00534
94.6,144,2509.981055
51.4,96,2511.264621
81.0,120,2586.51633
51.4,96,2587.662266
98.6,144,2589.471427
51.4,96,2590.823808
51.4,96,2661.141716
61.0,120,2664.195546
51.4,96,2666.484424
85.0,120,2668.228758
61.0,120,2669.835461
72.0,120,2741.150701
109.6,144,2745.730449
51.4,96,2747.630367
51.4,96,2749.091459
51.4,96,2836.827773
51.4,96,2838.98999
51.4,96,2841.030531
51.4,96,2842.177463
70.6,144,2844.670794
51.4,96,2914.566828
51.4,96,2915.853387
73.8,112,2917.288548
51.4,96,2918.562143
70.6,144,2920.300492
51.4,96,2996.16955
85.0,120,2998.090412
51.4,96,2999.091733
61.0,120,3000.725364
81.0,120,3069.732775
79.0,120,3071.138017
62.6,104,3072.75968
94.6,144,3074.683533
51.4,96,3167.402519
61.0,120,3168.980298
80.2,168,3171.163459
