#{"t_start": 1752319447.7173347, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-22.1,70,3.9275
31.5,79,5.111334
-29.5,52,5.961062
-10.4,99,7.254603
-60.5,99,7.929798
3.2,133,27.77873
-24.1,65,28.238501
-28.4,54,28.542688
17.0,43,28.790027
26.1,191,30.363818
-21.9,71,30.815611
-16.9,83,58.893541
15.8,40,59.202714
10.9,28,59.580703
-0.4,124,61.875568
36.1,91,63.981937
-16.3,85,65.68638
27.5,69,67.277128
3.9,135,89.82983
-21.8,71,90.579824
17.7,45,90.795249
-11.1,98,91.388662
-27.2,57,91.845441
-14.7,89,92.410929
46.4,116,133.966825
-61.0,98,134.556249
-28.4,54,134.776659
25.6,64,135.024995
-7.9,106,135.815881
-15.9,86,136.654638
-76.1,60,166.769124
-15.6,86,167.27178
-16.7,84,167.980884
-21.4,72,168.305017
48.2,121,169.05202
0.4,126,195.336745
-25.5,62,196.186474
15.1,38,196.543519
18.5,47,197.035204
36.9,93,197.8969
15.6,39,198.40953
-3.6,116,199.096692
-0.2,125,221.913688
-21.7,71,222.631768
-22.9,68,222.986819
-23.0,68,223.412681
12.6,32,223.654035
-4.3,115,224.672313
28.0,70,225.035342
-31.1,48,252.083028
16.6,42,252.330366
12.2,31,265.189985
-1.8,121,266.023755
-1.0,123,266.657062
30.6,202,299.854306
-16.5,84,300.73196
20.8,177,302.50821
-77.0,58,302.895176
-25.3,62,303.666115
2.2,131,334.843757
-1.8,121,336.05851
19.1,48,336.277923
-18.3,80,336.933171
31.3,204,362.462915
-23.0,68,363.030398
-22.6,69,363.658717
4.8,137,365.917678
23.8,60,366.905038
11.2,28,367.323918
13.9,160,396.47897
-27.9,56,396.988606
-36.1,35,397.436409
-12.2,95,402.654458
-26.9,58,403.288762
-21.3,72,403.822335
-27.7,56,404.260165
-26.8,58,404.698992
-33.1,43,430.02129
42.5,107,430.826138
26.7,67,431.441493
-22.5,69,432.10472
24.0,60,432.666218
-27.4,57,432.995338
0.9,128,459.536378
35.8,90,460.44794
11.2,28,460.775066
-26.1,60,461.300661
36.8,92,462.033701
-7.1,108,462.960224
-11.0,98,463.968528
-24.1,65,494.658475
-28.3,55,494.908805
-19.3,77,495.657803
-26.0,60,496.398823
-28.5,54,496.937382
-10.0,100,497.844956
-17.9,81,498.588967
-8.0,105,526.373682
-6.2,110,527.557516
-16.6,84,537.032184
34.0,85,537.934771
-23.0,68,538.681774
-8.7,104,563.551282
-24.4,64,563.916306
-10.0,100,564.99941
24.3,61,565.442227
-26.0,60,566.008712
-26.9,58,566.482446
-21.3,72,567.209502
12.5,32,567.397001
-36.6,34,589.124909
36.8,92,589.822044
22.3,56,590.505218
-26.0,60,591.00189
-22.8,68,591.617244
-15.5,87,592.643501
27.6,69,594.147481
-26.0,60,594.688035
15.5,39,617.993724
-16.5,84,618.659943
-16.3,85,619.439858
27.8,70,619.925559
-27.0,58,620.407271
-20.0,75,621.08446
25.6,64,621.67588
-22.9,68,647.085943
-8.6,104,648.304685
-29.5,52,648.780413
-27.1,58,650.293367
-26.8,58,650.749149
29.0,73,651.395422
-26.0,60,651.877134
-26.9,58,683.792804
22.0,55,684.744259
-27.6,56,685.917124
22.6,57,686.902489
-26.8,58,687.703348
-18.3,80,688.43539
-18.3,80,689.224281
21.8,55,689.822681
-8.6,104,710.627059
-26.9,58,711.164622
27.5,69,711.889683
-21.4,72,712.484094
-19.7,76,712.969796
22.4,56,713.365736
-9.9,101,714.12371
-27.0,58,737.979928
-56.4,109,739.114893
-21.6,71,739.814024
-22.9,68,740.310696
-75.0,63,740.811358
-26.3,60,741.386819
-19.6,76,741.977242
-24.3,65,768.751657
-26.2,60,769.283235
26.5,67,770.106035
-26.8,58,770.554836
-18.3,80,775.807791
-52.1,120,777.244949
13.8,35,777.484308
-15.3,87,798.048328
21.2,53,798.438286
-25.1,63,799.103507
-25.7,61,799.60716
-26.8,58,800.060948
-36.8,33,800.283353
-30.4,49,800.618457
-21.3,72,801.478158
-26.3,60,826.519208
-15.6,86,827.353976
-21.3,72,828.162814
-15.1,88,828.952702
34.6,87,829.8513
18.5,47,830.341987
-19.5,77,830.828686
28.9,73,856.606765
-18.3,80,857.3418
-21.5,72,858.055892
-18.3,80,858.629358
-21.3,72,859.005353
-22.3,70,859.419247
15.4,39,859.771306
-18.3,80,891.928329
-18.3,80,893.076261
-26.0,60,894.354842
-26.0,60,895.687279
-22.9,68,896.687606
-22.8,68,899.532998
-26.4,59,900.024683
-21.3,72,900.752736
30.3,76,919.526543
-24.3,65,920.15586
-22.9,68,920.822079
-26.0,60,921.360639
20.5,52,921.855316
44.2,111,923.008234
-26.0,60,923.360292
-15.2,87,948.901007
-22.9,68,949.380724
23.3,59,950.25738
24.8,62,950.666287
21.1,53,951.240752
25.7,65,951.701519
27.3,69,952.043605
23.7,60,979.393481
-25.1,63,979.984901
26.9,68,980.637157
-12.4,94,981.390144
16.0,40,981.690341
-15.2,87,982.401439
-21.4,72,983.015797
20.3,51,983.27311
18.8,47,1002.727096
-26.0,60,1003.306547
-27.0,58,1003.968777
-22.9,68,1004.644969
19.4,49,1005.069833
24.0,60,1005.683193
-21.3,72,1008.693145
24.1,61,1009.816143
-9.3,102,1033.165716
-22.5,69,1033.917705
-28.1,55,1034.47322
-93.2,142,1035.776735
-26.0,60,1036.671343
-23.0,68,1037.272735
-5.8,111,1063.564442
-12.5,94,1064.452068
23.0,58,1064.999604
-26.1,60,1065.635903
24.8,62,1066.020874
-22.9,68,1066.796799
30.7,77,1067.621594
-23.5,67,1098.646646
15.8,40,1099.493382
-27.2,57,1100.560528
24.2,61,1101.744363
-22.8,68,1103.122678
-26.3,60,1103.704124
-21.3,72,1104.445142
48.1,121,1124.276122
19.0,48,1124.593274
-19.6,76,1125.137818
21.7,55,1125.477908
-27.5,57,1126.052373
14.2,36,1126.285749
-26.0,60,1126.901104
-4.2,115,1139.405671
23.8,60,1175.928025
-21.5,72,1176.333939
-6.1,110,1177.135796
29.0,73,1178.013449
11.4,29,1178.276745
-77.5,57,1178.739508
-6.9,108,1179.533385
-70.1,75,1210.755908
-0.2,125,1212.181098
-20.2,75,1212.744592
12.7,32,1213.136544
-21.3,72,1213.875568
-19.6,76,1214.269515
17.5,44,1214.605616
-20.2,75,1251.63262
10.5,27,1251.775239
-17.5,82,1252.696774
28.1,71,1253.328087
-26.3,60,1253.91053
-13.3,92,1254.760258
