#{"t_start": 1751421429.7459676, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
-138.6,96,3.239337
-227.2,192,4.3753
-177.0,120,5.119311
-177.0,120,53.796165
-138.6,96,54.339711
-138.6,96,55.184453
-148.2,112,55.957387
-181.8,128,56.620613
-138.6,96,104.075734
-143.4,104,104.647206
-203.2,152,105.649526
-138.6,96,106.252913
-153.0,120,153.210364
-162.6,136,153.904508
-186.6,136,154.836018
-138.6,96,155.309751
-157.8,128,205.304083
-241.2,192,210.343609
-225.0,160,211.499518
-153.0,120,212.200644
-148.2,112,265.576933
-153.0,120,266.435637
-157.8,128,267.219542
-188.8,168,324.26502
-148.2,112,325.385026
-207.4,144,326.598781
-138.6,96,327.360744
-148.2,112,327.910274
-176.0,120,382.068473
-138.6,96,383.251311
-148.2,112,383.996318
-205.4,144,384.966725
-204.4,144,443.583146
-153.0,120,444.585841
-249.0,200,446.278152
-148.2,112,502.886071
-138.6,96,504.278209
-138.6,96,505.410191
-138.6,96,506.577115
-215.4,144,509.612062
-138.6,96,564.754984
-138.6,96,565.91493
-138.6,96,566.62606
-157.8,128,567.462853
-162.6,136,618.820269
-148.2,112,619.837085
-177.0,120,620.825612
-177.0,120,621.974082
-196.2,152,680.935935
-153.0,120,682.256973
-155.0,120,692.025283
-203.0,160,693.456327
-177.0,120,752.827967
-164.6,136,755.605162
-138.6,96,756.98286
-189.0,160,758.803025
-138.6,96,817.430911
-153.0,120,818.552167
-138.6,96,819.807145
-138.6,96,820.980056
-138.6,96,821.943024
-138.6,96,874.484706
-225.0,160,876.414003
-162.6,136,877.943177
-143.4,104,878.954116
-153.0,120,931.763931
-186.6,136,933.315863
-177.0,120,942.131274
-224.0,160,943.420876
-157.8,128,994.444254
-253.8,168,995.969052
-148.2,112,997.038235
-196.2,152,1049.482782
-284.4,224,1051.980617
-177.0,120,1053.251981
-234.6,176,1102.757161
-138.6,96,1103.845993
-138.6,96,1104.753098
-229.8,168,1106.544214
-148.2,112,1160.103217
-159.0,120,1161.319103
-138.6,96,1162.421357
