#{"t_start": 1752319730.4982884, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
51.4,96,6.349025
85.0,120,7.704401
61.0,120,8.694753
94.2,168,50.028244
104.2,168,51.343726
61.0,120,52.613332
107.4,136,53.707406
83.4,136,93.812182
61.0,120,94.651937
61.0,120,95.482715
51.4,96,96.269612
73.8,112,139.717449
118.6,144,140.686858
111.2,168,142.124015
51.4,96,143.030591
85.0,120,184.574518
51.4,96,198.309796
73.8,112,199.165509
62.6,104,200.07009
85.0,120,200.902863
71.0,120,242.023921
73.8,112,243.280561
63.0,120,244.330754
61.0,120,245.972365
73.0,120,293.258939
51.4,96,293.981008
73.8,112,295.312449
73.8,112,296.161179
85.0,120,337.535561
104.2,168,338.910884
51.4,96,339.804495
96.2,128,340.643252
51.4,96,341.415188
51.4,96,383.591424
73.8,112,399.078019
73.8,112,401.592299
73.8,112,403.750527
51.4,96,445.48694
61.0,120,446.556082
129.8,152,448.041112
51.4,96,449.135186
51.4,96,449.906125
61.0,120,495.039456
51.4,96,496.046763
85.0,120,497.140838
107.4,136,498.257851
110.0,160,539.303112
51.4,96,540.054104
97.6,144,541.454361
51.4,96,542.057748
70.6,144,584.568091
83.4,136,598.35523
90.6,144,599.325636
94.6,144,645.965938
73.8,112,647.587602
115.8,192,650.916701
51.4,96,652.526397
119.8,152,698.405733
108.6,144,699.532721
51.4,96,700.216891
110.2,168,701.452588
70.6,144,747.770751
97.6,144,749.261765
107.4,136,750.419668
62.6,104,794.940637
73.8,112,795.622813
73.8,112,809.266335
51.4,96,810.024309
113.8,192,859.943844
107.4,136,861.969429
118.6,144,864.397935
151.2,168,867.03289
86.2,168,904.748054
51.4,96,905.489073
61.0,120,906.290929
77.0,120,907.333143
91.2,128,947.580537
70.6,144,948.727471
118.6,144,949.986105
107.4,136,992.009751
107.4,136,993.267389
61.0,120,1007.224073
51.4,96,1008.091754
85.0,120,1008.935498
96.2,128,1051.688194
83.4,136,1052.762322
357.6,384,1096.002714
73.8,112,1096.810554
116.2,168,1098.203829
93.0,160,1139.058599
117.6,144,1139.859458
61.0,120,1140.776008
51.4,96,1141.581853
86.6,144,1184.449242
51.4,96,1186.36113
94.6,144,1204.913529
51.4,96,1205.851022
83.4,136,1248.007313
51.4,96,1249.180177
93.0,160,1250.518598
51.4,96,1251.442129
84.6,144,1294.580793
61.0,120,1295.425534
70.6,144,1296.83377
132.4,176,1298.417535
51.4,96,1342.325143
51.4,96,1343.06716
61.0,120,1344.172205
61.0,120,1345.198462
91.6,144,1390.160251
85.0,120,1391.433846
61.0,120,1392.485035
118.6,144,1409.077673
105.8,152,1466.499151
83.4,136,1467.700937
171.6,184,1469.129118
98.6,144,1517.58756
96.2,128,1518.535026
134.8,192,1521.355486
51.4,96,1524.225812
83.4,136,1572.698215
85.0,120,1573.869085
61.0,120,1574.748733
107.4,136,1575.9206
88.6,144,1626.724769
72.6,144,1627.841783
157.6,224,1690.992941
51.4,96,1692.116936
73.8,112,1692.907822
107.4,136,1694.075698
51.4,96,1694.824696
94.6,144,1746.899469
85.0,120,1748.274792
51.4,96,1748.924056
73.8,112,1750.315336
74.6,144,1799.50183
61.0,120,1800.440321
51.4,96,1801.329942
51.4,96,1802.124817
80.2,168,1851.18465
62.6,104,1852.40439
51.4,96,1854.30032
141.0,160,1858.036331
73.8,112,1921.585426
68.0,120,1922.660552
51.4,96,1924.409875
51.4,96,1926.557134
73.8,112,1928.240633
70.6,144,1974.199756
104.2,168,1975.962044
163.2,248,2028.60031
103.6,144,2029.610608
97.8,192,2031.210332
73.8,112,2032.116908
51.4,96,2078.46898
85.0,120,2079.5461
73.8,112,2081.549744
85.0,120,2083.699996
51.4,96,2101.005726
51.4,96,2148.269361
51.4,96,2149.02534
51.4,96,2149.59781
61.0,120,2152.552909
96.2,128,2201.965798
51.4,96,2202.909275
61.0,120,2204.201821
75.0,120,2205.128343
83.4,136,2256.593744
51.4,96,2257.288886
61.0,120,2258.567467
63.0,120,2259.540865
163.6,224,2315.633894
51.4,96,2316.330033
75.0,120,2317.500902
70.6,144,2318.769511
83.4,136,2380.51742
70.6,144,2381.779047
51.4,96,2382.950914
51.4,96,2383.647053
51.4,96,2384.558615
51.4,96,2432.693921
76.0,120,2436.103805
101.4,136,2438.961164
51.4,96,2439.713154
51.4,96,2493.182198
51.4,96,2494.305196
124.2,168,2497.953442
51.4,96,2499.628962
112.6,144,2545.202117
51.4,96,2545.813483
84.4,136,2546.92551
102.6,144,2548.343718
51.4,96,2600.738635
85.0,120,2614.246519
79.0,120,2615.100237
69.0,120,2616.33693
51.4,96,2617.087923
170.4,216,2672.882749
61.0,120,2674.168312
152.2,248,2726.193218
61.0,120,2727.765015
118.6,144,2729.90629
51.4,96,2730.859741
109.8,152,2776.863744
62.6,104,2777.922912
111.2,168,2779.384006
129.8,152,2780.844102
96.2,128,2827.277957
105.8,152,2845.843319
73.8,112,2846.529485
61.0,120,2847.740248
151.6,184,2902.573644
51.4,96,2903.356552
105.8,152,2904.532408
80.2,128,2953.363852
51.4,96,2956.429655
51.4,96,2958.738482
62.6,104,2960.973506
51.4,96,2961.730482
105.6,144,3005.106511
51.4,96,3006.050987
