#{"t_start": 1752405689.4724796, "env_id": "VizdoomTakeCover-v0"}
r,l,t
4.3,136,3.188414
-3.1,118,3.606911
35.3,89,3.71562
-25.3,62,3.911097
13.6,34,4.033769
-21.2,72,27.120928
-21.5,72,27.255568
-21.0,73,27.377242
34.0,85,27.597652
14.7,37,27.640538
23.8,185,27.928766
-17.9,81,49.102122
-8.5,104,49.291615
-24.3,65,49.408303
4.4,136,49.604778
-23.6,66,49.675588
-18.7,79,49.789284
3.8,135,77.123159
20.0,50,77.183996
-3.2,117,77.306669
-17.1,83,77.432332
25.1,63,77.537052
-4.5,114,100.362987
-50.1,125,100.517574
15.9,40,100.600352
17.5,44,100.699088
16.5,42,100.753941
51.4,129,100.993301
-8.0,105,122.205552
10.8,152,122.391056
18.8,47,122.45688
-26.0,60,122.608474
-41.6,146,122.897701
-16.8,83,139.846359
-46.0,135,140.047821
6.9,143,140.228337
-28.6,54,140.412844
10.2,26,140.490636
10.4,26,140.610315
-28.3,55,140.706059
-26.4,59,162.637387
9.4,24,162.68127
20.6,52,162.8568
-29.1,53,162.969499
-16.5,84,163.125082
5.6,139,163.288645
4.6,137,179.50227
-67.0,83,179.617961
-22.2,70,179.808451
-22.0,70,179.890232
-23.1,68,179.997943
-0.6,124,180.156519
-20.0,75,199.03302
41.9,105,199.203563
-25.0,63,199.286343
28.5,72,199.459879
-20.6,74,199.671313
-13.1,93,199.792987
-32.1,45,199.84086
-17.1,83,226.767823
-30.4,49,226.835642
-14.5,89,226.945348
-40.2,150,227.117887
-33.4,167,227.304387
-20.7,74,248.346096
14.4,36,248.396959
1.9,130,248.547557
-36.7,159,248.929535
23.9,60,249.190836
50.8,127,268.193
-24.2,65,268.330632
16.0,40,268.433357
-31.3,47,268.549047
-20.3,75,268.694657
27.5,69,268.771452
13.6,34,268.831292
16.8,42,268.9031
16.3,41,268.961943
3.4,134,283.703505
2.4,131,283.933889
23.1,58,284.059553
-28.7,54,284.129366
-0.4,124,284.264005
-28.8,53,302.830336
-28.7,54,302.978939
1.3,129,303.230266
26.4,66,303.329003
11.2,28,303.389839
1.4,129,303.671087
-17.1,83,326.782259
