#{"t_start": 1751160932.363555, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
83.4,136,3.597377
80.6,144,4.219713
51.4,96,5.098363
61.0,120,5.922158
105.2,168,44.107018
61.0,120,44.811135
75.6,144,45.695768
51.4,96,81.746336
91.6,144,82.411558
73.8,112,83.027909
73.8,112,83.678169
129.8,152,120.267297
150.8,192,121.408245
96.2,128,122.183172
51.4,96,122.620003
150.2,168,158.043251
61.0,120,158.888988
85.4,136,159.679872
180.6,264,198.862064
51.4,96,199.656938
85.0,120,200.270298
118.6,144,242.475403
61.0,120,243.338096
62.6,104,244.206772
61.0,120,244.683497
223.6,384,278.485081
114.2,168,279.680882
73.8,112,313.031672
118.6,144,316.429583
128.0,160,317.270334
51.4,96,317.79892
83.4,136,357.320205
118.8,152,358.479105
51.4,96,359.004699
84.0,120,359.801567
61.0,120,399.518329
94.6,144,400.619384
93.0,160,401.421239
72.2,128,402.070502
62.6,104,442.725753
51.4,96,443.36604
51.4,96,443.72508
109.8,152,444.623677
96.6,144,483.274291
51.4,96,484.604732
85.0,120,485.332784
81.0,120,486.057844
61.0,120,523.912587
62.6,104,524.670559
125.8,152,526.426861
135.0,160,527.484034
93.4,136,564.001354
73.8,112,565.073486
85.0,120,565.685848
124.4,176,566.722076
51.4,96,603.389993
73.8,112,604.674557
118.6,144,605.422556
95.0,160,606.347084
75.0,120,640.03896
51.4,96,643.128696
94.2,128,643.906615
105.4,136,644.778283
96.2,128,681.895
51.4,96,682.736748
85.0,120,683.760011
85.0,120,684.255685
72.2,128,722.147329
85.0,120,723.057893
51.4,96,723.472784
135.4,216,724.685539
89.2,168,761.561899
51.4,96,762.132373
51.4,96,762.795599
91.6,144,763.532628
98.6,144,801.569882
51.4,96,802.34082
61.0,120,803.934556
51.4,96,804.472119
105.8,152,840.956527
88.6,144,842.053592
83.4,136,842.554253
96.2,128,877.431959
96.2,128,878.062273
51.4,96,879.079552
81.6,144,879.971166
115.4,176,914.165699
146.8,192,915.644743
128.2,168,916.44959
61.0,120,951.723237
94.6,144,952.89211
105.8,152,954.633452
51.4,96,955.491158
73.8,112,993.813649
61.0,120,994.789041
51.4,96,995.405391
51.4,96,995.906052
138.2,168,1036.890423
63.0,120,1037.968539
73.8,112,1038.578907
51.4,96,1039.128437
129.8,152,1077.412032
51.4,96,1078.16402
85.0,120,1079.142403
96.2,128,1079.800642
85.0,120,1080.39605
73.8,112,1120.643393
51.4,96,1122.097503
169.0,240,1125.582182
51.4,96,1168.756694
70.6,144,1169.987402
85.0,120,1170.843114
51.4,96,1171.443507
95.2,128,1172.064845
