#{"t_start": 1752406624.2771273, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
151.4,176,5.680802
73.8,112,6.628268
51.4,96,7.732314
51.4,96,8.867277
74.0,120,76.033896
61.0,120,77.71041
62.6,104,78.611001
73.8,112,79.503612
51.4,96,129.543743
85.0,120,130.646792
73.8,112,131.938338
91.2,128,132.870842
96.2,128,181.995422
75.6,144,184.454843
109.6,144,185.617732
114.6,144,186.991057
51.4,96,231.727376
73.8,112,245.117555
51.4,96,245.946337
51.4,96,246.854907
70.6,144,248.147449
62.6,104,350.526559
62.6,104,351.557801
62.6,104,352.870289
119.2,168,354.502921
61.0,120,483.719235
83.4,136,485.061644
51.4,96,485.788699
61.0,120,486.96954
51.4,96,616.036254
62.6,104,617.152269
69.0,120,618.175532
190.2,248,736.225718
107.4,136,750.653121
118.6,144,751.983561
114.6,144,753.199309
107.4,136,847.222774
61.0,120,848.05355
93.0,160,849.547553
61.0,120,850.418224
81.8,152,939.183755
128.0,160,940.838328
85.0,120,941.804742
85.0,120,1042.699823
51.4,96,1043.62435
129.8,152,1044.890961
85.0,120,1045.691819
61.0,120,1146.34754
51.4,96,1147.401719
51.4,96,1160.814836
62.6,104,1161.636638
73.8,112,1162.771601
73.8,112,1225.338219
85.0,120,1226.528037
61.0,120,1228.162663
85.0,120,1229.198891
105.2,168,1297.080292
70.6,144,1299.688315
81.8,152,1302.853847
85.0,120,1303.795327
62.6,104,1364.318413
73.8,112,1367.015198
51.4,96,1369.089649
51.4,96,1370.922745
151.6,224,1439.182134
98.8,152,1455.305001
80.2,168,1457.257777
51.4,96,1506.564869
51.4,96,1509.133995
80.2,168,1512.187825
70.6,144,1514.451769
96.2,128,1574.52805
61.0,120,1576.650372
62.6,104,1578.8455
73.8,112,1580.406324
132.4,176,1630.63096
104.2,168,1632.361332
62.6,104,1633.331735
142.8,192,1687.689316
85.0,120,1689.098545
51.4,96,1703.672556
103.4,136,1704.628997
127.8,152,1757.43074
102.6,224,1759.86024
51.4,96,1760.845604
61.0,120,1763.252166
93.0,160,1822.639291
80.2,168,1824.526242
97.0,160,1826.129952
148.2,168,1879.832286
61.0,120,1881.020107
85.0,120,1882.056335
93.0,160,1935.017651
73.8,112,1936.457797
85.0,120,1937.300543
85.0,120,1951.394837
100.2,168,2003.385749
61.0,120,2004.518718
61.0,120,2005.46718
161.8,192,2007.063909
89.8,192,2057.724379
85.0,120,2059.919507
104.2,168,2061.082396
115.6,144,2112.716262
51.4,96,2114.624158
85.0,120,2115.909719
51.4,96,2116.783382
113.0,160,2169.427546
84.0,120,2170.901602
51.4,96,2171.537899
51.4,96,2185.482594
104.6,224,2234.142417
76.0,120,2235.307301
85.0,120,2236.368462
85.0,120,2237.642055
51.4,96,2290.733023
