#{"t_start": 1751109251.0027084, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-9.4,102,5.635924
36.9,218,9.003915
-22.4,69,9.710026
-95.0,138,51.701704
-25.6,61,52.331019
-8.6,104,53.735263
-10.4,99,55.144494
-17.1,83,56.288434
24.0,60,56.999532
20.2,51,57.941015
-28.5,54,106.976848
42.0,105,108.640398
-21.9,71,109.671639
-17.6,81,110.634065
6.2,141,112.548943
5.2,138,158.729415
-21.1,73,159.97608
-22.9,68,161.394287
27.3,69,162.427522
-53.9,116,163.773921
-11.3,97,165.640927
-18.2,80,220.289747
28.4,71,221.755825
9.6,24,222.358214
-28.1,55,223.344575
4.5,137,225.267432
-14.6,89,226.555985
-28.6,54,259.675394
-28.7,54,260.116215
-11.5,97,261.667067
24.1,61,262.224576
-17.1,83,263.388462
17.2,43,263.781411
15.2,38,264.311992
-16.2,85,265.434989
20.5,52,298.340967
48.2,121,301.256171
15.2,38,302.189673
-21.4,72,304.579282
-25.5,62,306.275743
-21.1,73,308.440952
-17.6,81,310.356827
-17.1,83,343.267793
-11.8,96,344.368848
0.9,128,345.93466
-22.4,69,346.846221
-21.2,72,347.922343
23.9,60,348.921669
-16.7,84,384.600233
-12.1,95,395.259721
-27.1,58,395.98478
-17.8,81,397.276327
-10.0,100,398.435226
19.0,48,398.943865
6.5,142,433.848499
-25.4,62,434.618439
-21.0,73,435.644694
11.8,155,437.817882
-71.6,71,438.679577
-28.6,54,439.232098
-39.0,28,469.417356
40.2,101,471.279375
24.6,62,472.602835
1.3,129,475.615775
23.8,60,477.124739
-15.3,87,478.595805
-19.9,76,508.622486
-25.6,61,509.597877
11.8,30,509.992821
-29.5,52,510.480516
-88.4,29,511.052985
-12.4,94,512.050317
-27.9,56,512.839207
-4.5,114,514.417984
27.2,68,550.444616
25.4,64,551.381111
-46.8,133,555.19491
-21.1,73,556.335858
-78.0,55,557.064907
-22.9,68,557.573547
-29.5,52,558.375402
-22.9,68,590.940294
-75.0,63,592.044342
-23.0,68,593.637081
-14.3,90,595.82423
-8.5,104,597.370095
-15.8,86,598.461177
-20.9,73,638.411314
-10.0,100,639.404657
21.1,53,640.024001
24.2,61,641.038287
-22.2,70,641.689546
-21.5,72,642.362744
20.6,52,643.057885
-21.5,72,679.154331
26.4,66,680.058912
27.4,69,680.989422
3.9,135,683.372049
-10.0,100,684.994708
39.9,100,686.686184
-77.3,57,717.642379
-19.8,76,719.184255
-20.8,73,736.578727
-15.3,87,737.701723
-23.0,68,738.719001
20.2,51,739.568728
3.7,135,773.6366
-13.5,92,775.017905
-31.0,48,775.343035
23.2,58,776.242629
-28.2,55,776.930788
-23.8,66,778.027854
-20.4,74,778.890546
4.8,137,814.025564
-4.5,114,815.320101
-21.3,72,816.537844
-19.6,76,817.854322
-22.9,68,818.553452
-21.2,72,819.470999
-8.9,103,850.684504
31.1,78,852.369997
20.0,50,853.665531
28.7,72,855.439785
-31.5,47,856.138915
17.2,43,856.80613
-15.4,87,857.868289
-11.9,96,889.350078
16.1,41,890.09708
-21.2,72,890.783245
-20.9,73,892.061825
35.2,88,899.183775
-26.2,60,900.055443
-4.4,114,901.529501
24.8,62,935.283211
16.9,43,935.914524
45.1,113,937.605001
19.7,50,939.060109
-22.9,68,941.481632
-22.9,68,943.552094
29.4,199,985.888847
-20.2,75,986.465305
28.5,72,987.658115
-15.7,86,988.675393
-24.4,64,989.55504
13.4,34,990.272122
-21.3,72,1021.245273
-29.6,51,1021.868605
-21.0,73,1022.788145
-23.6,66,1023.601969
-15.0,88,1024.706015
19.3,49,1025.246569
