#{"t_start": 1752319425.2294586, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
61.0,120,3.44479
147.6,184,4.002299
85.0,120,4.358349
96.2,128,43.213464
51.4,96,43.389992
91.6,144,43.548568
62.6,104,43.693181
73.8,112,82.282009
73.8,112,83.713183
61.0,120,85.763701
96.2,128,87.865083
61.0,120,89.425909
80.2,168,122.77375
120.2,168,125.504449
61.0,120,127.324583
62.6,104,171.675008
51.4,96,173.296672
85.0,120,174.962218
62.6,104,176.338539
61.0,120,178.116784
51.4,96,209.678401
85.0,120,211.746871
83.4,136,213.581964
65.0,120,215.470914
62.6,104,253.221982
156.8,192,256.022495
73.8,112,257.629199
100.8,152,302.291789
51.4,96,304.411123
75.6,144,307.238564
126.6,184,310.512809
61.0,120,343.721023
85.0,120,345.347674
85.0,120,347.36927
51.4,96,348.684753
118.4,176,387.910877
51.4,96,389.452755
61.0,120,391.103341
73.8,112,392.895549
98.2,168,430.020293
85.0,120,431.748671
61.0,120,433.707434
73.8,112,435.193461
205.8,232,472.737084
73.8,112,474.274972
61.0,120,475.890652
51.4,96,477.25301
73.8,112,525.70846
72.2,128,527.624337
112.0,160,529.986023
76.0,120,573.529604
96.2,128,575.676863
85.0,120,577.330442
85.0,120,579.112677
51.4,96,580.631616
61.0,120,615.304913
51.4,96,616.815873
73.8,112,618.697842
92.2,128,620.715448
61.0,120,654.972857
96.2,128,656.751102
94.6,144,658.743774
51.4,96,660.183924
93.0,160,703.38542
118.6,144,705.568583
95.2,128,707.3578
61.0,120,709.32853
85.0,120,743.319652
85.0,120,745.368175
73.8,112,746.927007
51.4,96,748.186639
181.8,232,782.773168
104.2,168,785.351275
128.2,168,787.662097
85.0,120,825.914824
83.0,120,827.744931
85.0,120,829.312739
101.8,192,863.608047
61.0,120,865.339418
187.6,344,870.143573
51.4,96,912.437496
141.0,160,914.938809
51.4,96,916.68115
152.4,176,951.673594
113.6,144,953.54559
104.2,168,955.871371
93.0,160,958.16823
51.4,96,991.233825
150.6,184,993.911665
51.4,96,995.180274
96.2,128,997.057256
96.2,128,1031.659742
73.8,112,1033.158735
51.4,96,1034.470228
93.0,160,1036.601529
51.4,96,1071.519174
104.6,144,1073.793094
62.6,104,1075.358907
110.6,184,1119.095972
85.0,120,1120.795428
72.2,128,1122.734244
51.4,96,1124.020805
70.6,144,1165.610609
96.2,128,1167.429745
73.8,112,1169.200013
51.4,96,1170.616227
85.0,120,1172.470269
51.4,96,1241.748048
61.0,120,1243.723765
76.6,144,1245.765306
107.4,136,1247.924535
81.6,144,1282.25774
51.4,96,1283.863447
73.8,112,1285.432253
51.4,96,1287.105778
71.0,120,1339.352092
51.4,96,1340.971761
85.0,120,1342.504663
116.2,168,1345.006973
94.2,128,1376.824905
95.6,144,1379.309262
103.6,144,1381.458516
95.0,160,1383.788288
85.0,120,1416.431013
85.0,120,1418.162384
84.0,120,1420.001467
85.0,120,1421.751787
51.4,96,1453.394188
72.2,128,1455.376887
61.0,120,1456.948685
73.8,112,1458.379858
85.0,120,1491.221054
51.4,96,1492.520579
107.4,136,1495.264243
75.0,120,1498.677119
104.2,168,1539.62863
80.0,120,1541.601356
83.4,136,1543.423485
51.4,96,1544.985309
61.0,120,1576.499053
70.6,144,1578.65828
61.0,120,1580.630008
61.0,120,1582.375342
73.8,112,1616.190933
73.8,112,1617.991119
85.0,120,1619.622757
77.6,144,1621.793952
61.0,120,1657.515447
51.4,96,1659.114173
85.0,120,1660.878455
61.0,120,1662.741475
62.6,104,1664.10084
73.8,112,1709.580246
51.4,96,1712.655025
72.2,128,1714.568908
51.4,96,1716.021025
118.6,144,1781.36532
51.4,96,1783.745956
73.0,120,1786.060766
70.6,144,1788.007562
51.4,96,1824.448134
97.0,160,1826.85071
110.6,184,1830.90886
107.4,136,1833.768216
85.0,120,1870.964766
73.8,112,1872.378985
61.0,120,1874.339743
101.6,144,1876.590725
85.0,120,1922.71341
96.2,128,1924.573437
73.8,112,1926.232003
154.8,192,1973.437793
105.8,152,1975.868295
124.2,168,1979.46867
91.6,144,1982.69604
83.4,136,2021.139258
73.8,112,2022.626282
51.4,96,2024.008587
96.2,128,2025.909504
51.4,96,2066.949778
139.0,160,2069.17483
62.6,104,2070.722691
93.0,160,2073.162169
85.0,120,2110.215104
74.6,144,2112.425195
51.4,96,2113.766608
129.8,152,2115.815132
51.4,96,2159.282916
61.0,120,2160.871668
61.0,120,2162.893263
62.6,104,2164.684474
51.4,96,2215.218366
51.4,96,2216.776201
72.2,128,2218.707039
72.6,144,2220.930095
73.8,112,2262.032204
107.4,136,2264.046818
96.2,128,2266.086365
61.0,120,2267.949383
51.4,96,2269.232952
62.6,104,2307.920517
73.8,112,2310.123626
51.4,96,2311.553802
73.8,112,2313.176464
51.4,96,2353.129644
96.2,128,2355.136279
107.4,136,2357.139923
73.8,112,2358.699752
73.8,112,2399.955451
104.4,136,2403.911873
51.4,96,2406.472028
108.4,176,2409.168818
111.6,144,2446.426206
61.0,120,2448.282243
104.2,168,2450.657892
74.6,144,2452.927824
85.0,120,2492.116049
85.0,120,2493.569164
51.4,96,2494.862705
71.0,120,2497.609362
61.0,120,2540.829807
51.4,96,2542.934181
94.6,144,2545.15624
61.0,120,2546.823782
107.4,136,2593.933828
61.0,120,2595.774906
73.8,112,2597.423497
51.4,96,2598.735988
51.4,96,2600.116298
62.6,104,2636.289585
75.0,120,2638.053868
73.0,120,2640.912225
73.8,112,2643.25596
62.6,104,2690.929499
73.8,112,2692.537201
118.6,144,2694.736321
84.0,120,2696.410844
107.4,136,2732.897293
70.6,144,2736.06283
73.8,112,2738.76361
73.8,112,2741.309802
85.0,120,2786.012285
116.6,144,2788.773901
112.2,168,2791.229337
105.8,152,2832.364358
51.4,96,2833.90823
125.2,168,2836.543184
129.8,152,2838.677479
61.0,120,2874.615394
115.6,144,2876.896296
61.0,120,2878.531923
128.6,184,2881.193806
62.6,104,2927.727393
72.0,120,2929.226385
83.4,136,2931.01261
51.4,96,2932.442787
73.8,112,2980.829419
61.0,120,2982.911851
85.0,120,2984.837703
51.4,96,2986.236961
62.6,104,2987.765874
72.2,128,3024.233374
92.6,144,3026.394595
150.2,168,3030.318105
118.6,144,3064.517669
51.4,96,3065.946848
73.8,112,3067.485734
51.4,96,3069.530268
117.6,144,3109.61011
85.0,120,3111.486094
96.2,128,3113.491732
62.6,104,3114.929887
92.6,144,3162.181554
73.8,112,3163.757341
51.4,96,3165.312184
51.4,96,3166.795219
182.4,256,3214.330129
61.0,120,3215.915889
62.6,104,3217.370999
120.2,168,3219.707752
104.2,168,3259.780612
93.0,160,3263.328127
118.6,144,3265.300853
77.6,144,3298.733468
94.6,144,3301.908978
61.0,120,3305.051575
85.0,120,3307.17789
51.4,96,3357.294897
82.8,152,3359.62766
62.6,104,3361.06382
85.0,120,3362.899912
51.4,96,3409.674854
83.4,136,3411.730357
85.0,120,3413.563456
51.4,96,3414.965707
51.4,96,3416.271216
95.2,128,3457.161891
85.0,120,3459.062809
168.8,192,3461.83739
78.6,144,3502.378998
72.2,128,3504.008641
51.4,96,3505.411889
73.8,112,3506.91886
105.8,152,3543.054248
118.6,144,3545.187545
51.4,96,3546.594783
85.0,120,3548.214452
98.0,160,3587.554272
51.4,96,3588.837841
51.4,96,3590.665954
93.0,160,3594.209479
94.6,144,3652.92749
102.6,184,3655.644226
85.0,120,3657.70372
85.0,120,3695.808842
118.6,144,3697.75065
84.6,144,3700.023573
51.4,96,3701.22536
73.8,112,3739.567848
51.4,96,3741.920557
51.4,96,3743.940157
51.4,96,3745.67452
118.6,144,3747.773908
85.0,120,3786.502362
73.8,112,3787.960464
85.0,120,3789.599083
85.0,120,3791.337435
85.0,120,3829.483449
61.0,120,3833.001044
115.4,176,3838.188174
51.4,96,3840.97672
141.2,168,3879.531638
51.4,96,3880.917932
